FAERS_drug_match,lookup_value
CASSIA (SENNOSIDES),Cinnamon
CASSIA SIEBERIANA ROOTS,Cinnamon
CASSIA (UNK INGREDIENTS),Cinnamon
CASSIA VIRGINICA,Cinnamon
CASSIA VIRGINICA [SENNA OCCIDENTALIS],Cinnamon
"IDEOLAXIL (SENNA, CASSIA AUGUSTIFOLIA, ALOE) (TABLETS)",Cinnamon
SENNA/CASSIA FISTULA/TAMARINDUS INDICA/CORIANDRUM SATIVUM/GLYCYRRHIZA,Cinnamon
SODIUM PICOSULPHATE/CASSIA SENNA/POLYGONUM PUNCTATUM/COLLINSONIA CANAD,Cinnamon
"3,4-METHYLENEDIOXYCINNAMIC ACID",Cinnamon
ACENOCOUMARIN,Cinnamon
ACENOCOUMARINE,Cinnamon
AMINOCOUMARIN,Cinnamon
COUMADIN /00627701/(COUMARIN),Cinnamon
"COUMADIN /00627701/(COUMARIN) TABLET, 5MG",Cinnamon
COUMADIN//COUMARIN,Cinnamon
COUMARIN DERIVATIVE,Cinnamon
COUMARINE,Cinnamon
COUMARIN [PIROXICAM] (IN BROWN SOLUTION),Cinnamon
COUMARIN/VITAMIN K ANTAGONIST,Cinnamon
COUMARIN/VIT-K-ANTAGONIST (VITAMIN K ANTAGONISTS),Cinnamon
DICOUMARIN,Cinnamon
DICOUMARINS,Cinnamon
"ESBERIVEN (COUMARIN, HEPARIN SODIUM, MELILOT, RUTIN)",Cinnamon
"ESBRERIVEN (COUMARIN, HEPARIN SODIUM, MELILOT , RUTIN)",Cinnamon
FURANOCOUMARINS,Cinnamon
"VENALOT [COUMARIN,TROXERUTIN]",Cinnamon
VENALOT [COUMARIN;TROXERUTIN],Cinnamon
VENALOT CREAM (5 MG COUMARIN AND 50 IU SODIUM HEPARIN),Cinnamon
ANETHOLE AND BORNEOL AND CAMPHENE AND EUCALYPTOL AND FENCHONE AND PINE,Cinnamon
CODEINE CAMSYLATE AND EUCALYPTOL,Cinnamon
"COOL MINT LISTERINE (EUCALYPTOL, MENTHOL, METYL SALICYLATE, THYMOL)",Cinnamon
"COOL MINT LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"COOL MINT, LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"COOL MINT LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL,",Cinnamon
"COOL MINT LISTERINE POCKETPAKS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon
EUCALYPTOL + GUAIACOL + PHOLCODINE,Cinnamon
EUCALYPTOL LIMONENE,Cinnamon
"EUCALYPTOL, LIMONENE AND PINENE",Cinnamon
EUCALYPTOL LIMONENE PINENE,Cinnamon
EUCALYPTOL/LIMONENE/PINENE,Cinnamon
EUCALYPTOL/MENTHOL/METHYLSALICYLATE/THYMOL,Cinnamon
"FRESHBURST LISTERINE (EUCALYPTOL, MENTHOL, METHYLSALICYLATE, THYMOL)",Cinnamon
"FRESHBURST LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"FRESHBURST LISTERINE MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon
"FRESHBURST LISTERINE MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon
"FRESHBURST LISTERINE MOUTHWAS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon
"LISTERINE ANTISEPTIC MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICYLATE",Cinnamon
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, MEHTYL SALICYLATE, EUCALYPTOL",Cinnamon
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICLATE, EUCALYPTOL,",Cinnamon
"LISTERINE ANTISEPTIC MOUTHWASH (MENTHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon
"LISTERINE  ANTISEPTIC  MOUTHWASH (MENTHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon
"LISTERINE ANTISEPTIC MOUTHWASH (MENTOL, METHYL SALICYLATE, EUCALYPTOL,",Cinnamon
"LISTERINE ANTISEPTIC MOUTHWASH (METNHOL, METHYL SALICYLATE, EUCALYPTOL",Cinnamon
"LISTERINE COOL CITRUS (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"LISTERINE (EUCALYPTOL, MENTHOL, METHYL SACICYLATE, THYMOL)",Cinnamon
"LISTERINE FRESCOR CITRICO (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THY",Cinnamon
"LISTERINE (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL, THYMOL)",Cinnamon
"LISTERINE (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"LISTERINE POCKETPAKS CINNAMON (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL",Cinnamon
"LISTERINE STAY WHITE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"LISTERINE VANILLA MINT (MENTHOL,  METHYL SALICYLATE, EUCALYPTOL, THUMO",Cinnamon
"LISTERINE VANILLA MINT (METHOL, METHYL SALICYLATE, EUCALYPTOL, THYMOL)",Cinnamon
"NATURAL CITRS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYMO",Cinnamon
"NATURAL CITRUS LISTERINE (EUCALYPTOL , MENTHOL, METHYL SALICYLATE, THY",Cinnamon
"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL  SALICYLATE, THY",Cinnamon
"NATURAL CITRUS LISTERINE (EUCALYPTOL, MENTHOL, METHYL SALICYLATE, THYM",Cinnamon
"NATURAL CITRUS LISTERINE (MEHTOL, METHYL SALICYLATE, EUCALYPTOL, THYMO",Cinnamon
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYCLATE, EUCALYPTOL, THY",Cinnamon
"NATURAL CITRUS LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL, THYM",Cinnamon
"NATURAL CITRUS LISTERINE (MENTHOL, METHYLSALICYLATE, EUCALYPTOL, THYMO",Cinnamon
"RINOBANEDIF (ANTAZOLINE NOS, BACITRACIN ZINC, EUCALYPTOL, NEOMYCIN SUL",Cinnamon
"SOFTMINT SENSATION LISTERINE (MENTHOL, METHYL SALICYLATE, EUCALYPTOL,",Cinnamon
"TARTAR CONTROL LISTERINE MOUTHWASH (EUCALYPTOL, MENTHOL, METHYL SALICY",Cinnamon
EUCALYPTUS LEMON PINENE ENTERIC SOFT CAPSULE,Cinnamon
ASUFLAXANE,Flax seed
CEFLAX,Flax seed
CENAFLAX,Flax seed
CIPROFLAXACIN HD,Flax seed
CIPROFLAXACIN -ORAL 750 MG,Flax seed
CIPROFLAXACN,Flax seed
CIPROFLAXIN (3MG/ML),Flax seed
CIPROFLAXIN 500 MG PER TAB,Flax seed
CIPROFLAXINA HC LAZAR,Flax seed
CIPROFLAXIN (CIPROGLOXACIN),Flax seed
CIPROFLAXIN DO NOT RECALL DO NOT RECALL,Flax seed
CIPROFLAXIN DO NOT REMEMBER,Flax seed
CIPROFLAXIN GENERIC 250,Flax seed
CIPROFLOXACIN-CIPROFLAX HCL,Flax seed
CIRPROFLAXIN,Flax seed
COFLAX,Flax seed
DEFLAX,Flax seed
DEFLAXACOR,Flax seed
DEFLAXACORT,Flax seed
DIMOFLAX,Flax seed
DORZOFLAX,Flax seed
EFFEXOR SR (VENFLAXINE XR),Flax seed
EFFEXOR (VENLAFLAXINE HYDROCHLORIDE),Flax seed
EFFEXOR XR PROBLEM IS VENLAFLAXINE THE GENERIC,Flax seed
ENLAFLAXINE,Flax seed
FLAXAMINE,Flax seed
FLAXAROMINE,Flax seed
FLAXATE,Flax seed
FLAXCED,Flax seed
FLAXCETOL,Flax seed
FLAXENOL,Flax seed
FLAXERIL,Flax seed
FLAXID,Flax seed
FLAXIPARIN (CON.),Flax seed
FLAXIPARINE,Flax seed
FURFLAX (NOS),Flax seed
INFLAXEN,Flax seed
INFLAXIMAB,Flax seed
KAFLAX,Flax seed
LEVAFLAXASIN,Flax seed
LEVEFLAXIN,Flax seed
LEVOFLAXACINE,Flax seed
LEVOFLAXIN/DEXTROSE,Flax seed
MICROFLAX,Flax seed
NEUROFLAX,Flax seed
NORFLAXCIN,Flax seed
NORFLAXIN,Flax seed
OFLAX,Flax seed
OFLAXACIN 0.3%,Flax seed
OFLAXACIN 400MG TEVA,Flax seed
OFLAXACINE,Flax seed
OFLAXCIN,Flax seed
PANTEOFLAX,Flax seed
PROFLAX,Flax seed
REFLAX,Flax seed
RIFLAXIMIN,Flax seed
RX BENLAFLAXINE,Flax seed
SAFLAX,Flax seed
SOFLAX,Flax seed
SOFLAX                             /00061602/,Flax seed
SOFLAX /00061602/,Flax seed
SOFLAX (AUSTRALIA),Flax seed
SOFLAX C,Flax seed
SOFLAX (CANADA),Flax seed
SOFLAX [DOCUSATE SODIUM],Flax seed
SOLFLAX,Flax seed
VANAFLAXINE,Flax seed
VENAFLAXINE,Flax seed
VENEFLAXIN,Flax seed
VENFLAXINE,Flax seed
VENFLAXINE-HCL,Flax seed
VENFLAXINE HR,Flax seed
VENFLAXINE HYDROCHLORIDE ER,Flax seed
VENFLAXINE HYDROCHLORIDE (VENLAFAXINE HYDROCHLORIDE),Flax seed
VENLAFLAXINE 75 RET,Flax seed
VENLAFLAXINE CR,Flax seed
VENLAFLAXINE ER,Flax seed
VENLAFLAXIN HCL ER,Flax seed
VENLAFLAXIN RETARD,Flax seed
VENTLAFLAXIN,Flax seed
VERIFLAXEN TRILIGY BREATHING MACHINE,Flax seed
XANAFLAX,Flax seed
XANOFLAX,Flax seed
ZANAFLAX,Flax seed
ZANAFLAX (NOS),Flax seed
ZENAFLAXIN,Flax seed
1/4 TEASPOON TURMERIC IN 2 TABLESPOONS OF APPLE SAUCE,Green tea
5 GRASS MIX (AGROSTIS GIGANTEA POLLEN\ANTHOXANTHUM ODORATUM\DACTYLIS GLOMERATA\PHLEUM PRATENSE\POA PRATENSIS),Green tea
5 GRASS MIX (AGROSTIS GIGANTEA POLLEN\ANTHOXANTHUM ODORATUM POLLEN\DACTYLIS GLOMERATA POLLEN\PHLEUM PRATENSE POLLEN\POA PRATENSIS POLLEN),Green tea
ABBOTICIN /00020902/ (ABBOTICIN -ERYTHROMYCIN STEARATE) 500 MG (NOT SPECIFIED),Green tea
ACETEALSESTINE,Green tea
ACETEAMINOPHEN,Green tea
ACTEAMINOPHEN /CODEINE,Green tea
ACTEAMINOPHEN CODEINE CAFFEINE,Green tea
ACTEAMINOPHEN (PARACETAMOL),Green tea
ACTEAMINOPHEN W/CODEINE(PARACETAMOL CODEINE),Green tea
AFTIFICIAL TEARS,Green tea
AKWA-TEARS,Green tea
AKWA TEARS [BENZALKONIUM CHLORIDE;EDETIC ACID;POLYVINYL ALCOHOL],Green tea
AKWA TEARS LUBRICANT EYE DROPS,Green tea
ALCON TEARS NATURELLE #2,Green tea
ALLERGIN-REFRESH ARTIFICAL TEARS,Green tea
ALPHA-1 PROTEASE INHIBITOR,Green tea
"ALPHA GALACTOSIDASE A, HUMAN\AMYLASE\CELLULASE\HEMICELLULASE\LACTASE\LIPASE\PHYTASE (ASPERGILLUS NIGER)\PROTEASE",Green tea
.ALPHA.?TOCOPHEROL\ACACIA\CALCIUM LACTATE\CALCIUM STEARATE\LIVER EXTRACT,Green tea
AMARA [ARTEMISIA ABSINTHIUM TINCTURE;CINCHONA PUBESCENS;GENTIANA LUTEA,Green tea
AMILASE+LIPASE PROTEASE,Green tea
AMLODIPINE BESILATEATORVASTATIN CALCIUM,Green tea
AMLODIPINE BESILATE/BESILATEATORVASTATIN CALCIUM,Green tea
AMPHOTERICIN B AND CHOLESTEROL AND DISTEAROYLPHOSPHATIDYLGLYCEROL AND,Green tea
AMPHOTERICIN B (+) CHOLESTEROL (+) DISTEAROYLPHOSPHATIDYLGLYCEROL (+),Green tea
AMYLA/LIPA/PROTEA,Green tea
AMYLASE/ASCORBIC ACID/CELLULASE/FOLIC ACID/LIPASE/PROTEASE,Green tea
AMYLASE (+) CELLULASE (+) LIPASE (+) PANCREATIN (+) PROTEASE,Green tea
AMYLASE+LIPASE+PANCRELIPASE+PROTEASE,Green tea
AMYLASE-LIPASE-PROTEASE,Green tea
AMYLASE-LIPASE-PROTEASE CAPSULE,Green tea
AMYLASE-LIPASE-PROTEASE [PANCREASE],Green tea
ANTI-INFLAMMATORY TEAS,Green tea
ANTIPROTEASE,Green tea
ANY BRAND SINGLE USE ARTIFICAL TEARS,Green tea
APPLE AND GINGER TEA,Green tea
APPLE CIDER VINEGAR TEA,Green tea
AQUA FILM TEARS,Green tea
AQUATEAR (POLYVINYL ALCOHOL AND BENZALKONIUM CHLORIDE),Green tea
AQUATEARS,Green tea
*AQUA TEARS,Green tea
AQUA TEARS,Green tea
AQUATEARS                          /01282201/,Green tea
AQUA TEARS- AUGENGEL,Green tea
ARTFICIAL TEARS PROVINYL ALCOHOL,Green tea
ARTHROTEAN,Green tea
ARTICIAL TEARS,Green tea
ARTIFICAIL TEARS,Green tea
ARTIFICAL DRO TEARS,Green tea
ARTIFICAL TEAR OINTMENT,Green tea
ARTIFICAL TEARS,Green tea
ARTIFICAL TEARS /00445101.,Green tea
ARTIFICAL TEARS 0.3% DROPS,Green tea
ARTIFICAL TEARS (ARTIFICIAL TEARS),Green tea
ARTIFICAL TEARS POLYVINYL ALCHOLOL,Green tea
ARTIFICIAL DRO TEARS,Green tea
"ARTIFICIAL SALIVA, VISOTEAR",Green tea
ARTIFICIAL SOL TEARS,Green tea
ARTIFICIAL SOLUTION TEARS,Green tea
ARTIFICIAL TEAR,Green tea
ARTIFICIAL TEAR 0.1?0.3%,Green tea
ARTIFICIAL TEAR DROP,Green tea
ARTIFICIAL TEAR DROPS,Green tea
ARTIFICIAL TEAR MYTEAR,Green tea
ARTIFICIAL TEAR MY TEAR,Green tea
ARTIFICIAL TEAR OINTMENT,Green tea
ARTIFICIAL TEAR OPHT,Green tea
ARTIFICIAL TEAR OPTIVAL,Green tea
ARTIFICIALTEARS,Green tea
ARTIFICIAL TEARS,Green tea
ARTIFICIAL TEARS                   =,Green tea
(ARTIFICIAL TEARS /00445101/),Green tea
ARTIFICIAL TEARS                   /00445101/,Green tea
ARTIFICIAL TEARS /00445101/,Green tea
ARTIFICIAL TEARS  /00445101/ (HYPROMELLOSE) SOLUTION (EXCEPT SYRUP),Green tea
ARTIFICIAL TEARS                   /00582501/,Green tea
ARTIFICIAL TEARS                   /00880201/,Green tea
ARTIFICIAL TEARS /00880201/,Green tea
ARTIFICIAL TEARS 0.1-0.3 % SOLN,Green tea
ARTIFICIAL TEARS                   /04030201/,Green tea
ARTIFICIAL TEARS 1.4%,Green tea
ARTIFICIAL TEARS                   /90046201/,Green tea
ARTIFICIAL TEARS /90046201/,Green tea
ARTIFICIAL TEARS AND LUBRICANT,Green tea
ARTIFICIAL TEARS AND SALIVA,Green tea
ARTIFICIAL TEARS (ARTIFICIAL,Green tea
ARTIFICIAL TEARS (ARTIFICIAL TEARS),Green tea
ARTIFICIAL TEARS [ARTIFICIAL TEARS],Green tea
ARTIFICIAL TEARS (ARTIFICIAL TEARS) (DROPS),Green tea
ARTIFICIAL TEARS (ARTIFICIAL TEARS) (NULL),Green tea
"ARTIFICIAL TEARS [BENZALKONIUM CHLORIDE,EDETATE DISODIUM,POLYVINYL",Green tea
ARTIFICIAL TEARS (BENZALKONIUM CHLORIDE (+) GLYCERIN (+) PROPYLENE GLY,Green tea
ARTIFICIAL TEARS DROP,Green tea
ARTIFICIAL TEARS DROPS,Green tea
ARTIFICIAL TEARS (DROPSTAR TG),Green tea
ARTIFICIAL TEARS EYEDROPS,Green tea
ARTIFICIAL TEARS EYE DROPS,Green tea
ARTIFICIAL TEARS EYE OINTMENT,Green tea
ARTIFICIAL TEARS FOR DRY EYES,Green tea
ARTIFICIAL TEARS (HYPEROMELLOSE),Green tea
ARTIFICIAL TEARS [HYPROMELLOSE],Green tea
ARTIFICIAL TEARS//HYPROMELLOSE,Green tea
ARTIFICIAL TEARS (ISOPTO TEARS),Green tea
ARTIFICIAL TEARS LUBRICANT,Green tea
ARTIFICIAL TEARS LUBRICANT EYE DROPS,Green tea
ARTIFICIAL TEARS LUBRICANT EYE DROPS PF,Green tea
ARTIFICIAL TEARS (NO INGREDIENTS/SUBSTANCES),Green tea
ARTIFICIAL TEARS NOS,Green tea
ARTIFICIAL TEARS OINTMENT,Green tea
ARTIFICIAL TEAR SOLUTION,Green tea
ARTIFICIAL TEARS OP,Green tea
ARTIFICIAL TEARS OPHTHALMIC SOLUTION,Green tea
ARTIFICIAL TEARS (OTC),Green tea
"ARTIFICIAL TEARS [PARAFFIN, LIQUID;WHITE SOFT PARAFFIN]",Green tea
ARTIFICIAL TEARS PF,Green tea
ARTIFICIAL TEARS POLYCINYL ALCOHOL INSTILL,Green tea
ARTIFICIAL TEARS POLYVIN,Green tea
ARTIFICIAL TEARS [POLYVINYL ALCOHOL],Green tea
ARTIFICIAL TEARS//POLYVINYL ALCOHOL,Green tea
ARTIFICIAL TEARS [POLYVINYL ALCOHOL;POVIDONE],Green tea
ARTIFICIAL TEARS/POVIDONE,Green tea
ARTIFICIAL TEARS [PROPYLENE GLYCOL],Green tea
ARTIFICIAL TEARS//PROPYLENE GLYCOL,Green tea
ARTIFICIAL TEARS PVA,Green tea
ARTIFICIAL TEARS PVA 1.4%/POVIDONE,Green tea
ARTIFICIAL TEARS PVA 1.4/POVIDONE (PF),Green tea
ARTIFICIAL TEARS PVA 1.4%/POVIDONE (PF),Green tea
ARTIFICIAL TEARS PVA/POVIDONE (PF),Green tea
ARTIFICIAL TEARS Q4H,Green tea
ARTIFICIAL TEARS (REGULAR),Green tea
"ARTIFICIAL TEARS SOLN, OPH",Green tea
ARTIFICIAL TEARS SOLUTION,Green tea
ARTIFICIAL TEARS SOLUTION (EXCEPT SYRUP),Green tea
ARTIFICIAL TEARS/SYSTANE ULTRA,Green tea
ARTIFICIAL TEARS -TEARISOL-,Green tea
ARTIFICIAL TEARS [UMBRELLA TERM],Green tea
ARTIFICIAL TEARS (UNK INGREDIENTS),Green tea
ARTIFICIAL TEARS UNSPECIFIED,Green tea
ARTIFICIAL TEARS                        /USA/,Green tea
ARTIF TEARS,Green tea
ARTIF TEARS 0.5% SOLUTION,Green tea
ARTRIFICAL TEARS,Green tea
ART TEARS,Green tea
ART TEARS PRES-FREE,Green tea
ASACOLON (LACOTSE MONOHYDRATE/MAGNESIUM STEARATE/MESALAZINE/METHYLACRYLIC ACID/METHYL),Green tea
"ASAL (ARACGUS GTOIGAEA OIL, ARACHIS OIL, ASCORBIC ACID, GLYCERYL MONOSTEARATE, LECITHINUM SOYA, MANG",Green tea
"ASCORBIC ACID, GENTIANA LUTEA ROOT, PRIMULA SPP. FLOWER, RUMEX ACETOSA",Green tea
ATRIFICIAL TEARS,Green tea
AUTOLOGOUS SERUM TEARS,Green tea
AUTOLOGUS SERUM TEARS,Green tea
AYURVEDIC ^TRIPHALA^ TEAL,Green tea
BABY TEAR FREE SUNBLOCK 50 SPF BANANA BOAT,Green tea
BAKING SODA (TEASPOON),Green tea
BALANCE TEARS,Green tea
BANANA BOAT BABY TEAR FREE LOTION SPF 50,Green tea
BANANA BOAT KIDS TEAR FREE BROAD SPECTRUM SUNSCREEN SPF 50,Green tea
BANANA BOAT KIDS TEAR FREE CONTINUOUS SPF 50,Green tea
BANANA BOAT KIDS TEAR FREE SPF 30 BANA BOAT,Green tea
BI 201335 (HCV PROTEASE INHIBITOR),Green tea
"BIAFINE(BIAFINE /00834001/)(PROPYLENE GLYCOL, TROLAMINE, ETHYLENE GLYCOL MONOSTEARATE, STEARYL ALCOHOL, CETYL PALMITATE, PARAFFIN, PARAFFIN, LIQUID, SODIUM ALGINATE)",Green tea
BIAFINE (CETYL PALMITATE/ETHYLENE GLYCOL MONOSTEARATE/PARAFFIN/PARAFFI,Green tea
"BIAFINE CREAM (PROPYLENE GLYCOL, TROLAMINE, ETHYLENE GLYCOL MONOSTEARA",Green tea
"BIAFINE (PROPYLENE GLYCOL, STEARYL ALCOHOL, ETHYLENE GLYCOL MONOSTEARA",Green tea
"BIAFINE (STEARYL ALCOHOL, ETHYLENE GLYCOL, MONOSTEARATE TROLAMINE)",Green tea
BIG TEARS FOR EYES,Green tea
BINK GEL TEARS,Green tea
BION TEAR,Green tea
BION TEARS 0.3%/ 0.1%,Green tea
BION TEARS EYE DROPS,Green tea
BION TEAS,Green tea
BIOSYNTRX BIOTEARS,Green tea
BIOTEAR,Green tea
BIOTEARS,Green tea
BIO-TEARS,Green tea
BIO- TEARS,Green tea
BIO TEARS (TEARS PLUS),Green tea
BLACKBERRY POMEGRANATE TEA,Green tea
BLACK CURRANT (+) TEA,Green tea
BLANK GEL TEARS,Green tea
BLINDED BI 201335 (HCV PROTEASE INHIBITOR),Green tea
BLINDED GS 9256 (NS3 PROTEASE INHIBITOR),Green tea
BLINDED PROTEASE INHIBITOR NOS,Green tea
BLINDED SCH 503034                (HCV PROTEASE INHIBITOR),Green tea
BLINDED SCH 503034 (S-P) (HCV PROTEASE INHIBITOR,Green tea
BLINDED SCH 503034 (S-P) (HCV PROTEASE INHIBITOR),Green tea
BLINDED SCH (S-P) (HCV PROTEASE INHIBITOR),Green tea
BLINDED SCJ 503034             (HCV PROTEASE INHIBITOR),Green tea
BLINDED SCJ 50304  (HCV PROTEASE INHIBITOR),Green tea
BLINDED SCJ 50304 (S-P) (HCV PROTEASE INHIBITOR),Green tea
BLINDED TMC435 (NS3/4A PROTEASE INHIBITOR),Green tea
BLINK GEL TEARS LUBRICATING EYE DROPS,Green tea
"BLINK TEARS ADVANCED MEDICAL OPTICS, INC.",Green tea
BLINK TEARS LUBRICATING,Green tea
BLINK TEARS LUBRICATING EYE DROPS,Green tea
BLOOD SERUM TEARS,Green tea
BLOOD TEARS,Green tea
BLUEGRASS TEA,Green tea
BLUMEA BALSAMIFERA TEA,Green tea
BMS-650032 (HCV NS3 PROTEASE INHIBITOR),Green tea
BONE STRENGTHENING FORMULA (A TEA),Green tea
BONE STRENGTHING FORMULA (A TEA),Green tea
BORTEAMIB,Green tea
BROAD SPECTRUM SUNSCREEN BABY TEAR FREE BANANA BOAT,Green tea
"BUPIVACAIN HCL 0.25% + EPI 1:200,000 INJ, TEARTOP VIALS (BUPIVACAIN HYDROCHLORIDE)",Green tea
BUPROPION XL 300MG TEA,Green tea
BUTEA SUPERBA,Green tea
BUTEA SUPERBA?,Green tea
CALC ACTEATE,Green tea
CALCIUM ACTEATE,Green tea
"CALLITEA, WOLFBANE",Green tea
CALTRATE THERA TEARS,Green tea
CANNABIS TEA,Green tea
CAPTEA,Green tea
CAPTEA (CAPOZIDE),Green tea
CAPTEA (CAPOZIDE) (CAPOZIDE),Green tea
CAPTEA TABLETS,Green tea
CAPTEA (TABLETS),Green tea
CAPTEA TABS,Green tea
CARBOMER+CARBOMER 980 (VISCOTEARS),Green tea
CARBOMER + CARBOMER 980 (VISCOTEARS) (UNKNOWN),Green tea
CARDIOTABS CARDIOTEA,Green tea
CARTEABAK,Green tea
"CARTEABAK  2% COLLIRIO, SOLUZIONE",Green tea
CEDAR TEA,Green tea
"^CELESTIAL SEASONINGS^ TEA - CHAMOMILE, SPEARMINT, LEMON GRASS, TILIA",Green tea
CELLUFRESH TEARS,Green tea
CELLULASE/DIASTASE/HEMICELLULASE/LIPASE/PANCREATIN/PROTEASE/TRYPSIN,Green tea
CELLUVISC ARTIFICIAL TEARS,Green tea
"CETAPHIL [BUTYL,CETYL ALCOH,PROPYL GLYC,NA+ LAURYL SULF,STEARYL AL",Green tea
CETAPHIL [CETYL ALCOHOL;PROPYLENE GLYCOL;SODIUM LAURYL SULFATE;STEARYL,Green tea
CETAPHIL [CETYL ALCOHOL\PROPYLENE GLYCOL\SODIUM LAURYL SULFATE\STEARYL ALCOHOL],Green tea
"CETAPHIL [CETYL ALCOHOL,PROPYLENE GLYCOL,STEARYL ALCOHOL]",Green tea
CETAPHIL [CETYL ALCOHOL;SODIUM LAURYL SULFATE;STEARYL ALCOHOL],Green tea
"CETAPHIL (PROPYLENE GLYCOL, STEARYL ALCOHOL, CETYL ALCOHOL)",Green tea
CETAPHIL RESTORADERM CLEANSER (CETYL ALCOHOL;; PROPYLENE GLYCOL; STEAR,Green tea
CETAPHIL RESTORADERM CLEANSER (CETYL ALCOHOL; PROPYLENE GLYCOL;STEARYL,Green tea
