"name"	"latin_binomial"
PLECTRANTHUS AMBOINICUS WHOLE	PLECTRANTHUS AMBOINICUS
VICK'S PLANT WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS SUBFRUTECTOSUS WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS CARNOSUS WHOLE	PLECTRANTHUS AMBOINICUS
MAJANA CARNOSA WHOLE	PLECTRANTHUS AMBOINICUS
COLEUS SUGANDA WHOLE	PLECTRANTHUS AMBOINICUS
MAJANA SUGANDA WHOLE	PLECTRANTHUS AMBOINICUS
PLECTRANTHUS AMBOINICUS (LOUR.) SPRENG.	PLECTRANTHUS AMBOINICUS
MAJANA AMBOINICA WHOLE	PLECTRANTHUS AMBOINICUS
CHINESE GOLDTHREAD WHOLE	COPTIS CHINENSIS
COPTIS CHINENSIS [WHO-DD]	COPTIS CHINENSIS
HUANG LIAN WHOLE	COPTIS CHINENSIS
COPTIS CHINENSIS WHOLE	COPTIS CHINENSIS
COPTIS (COPTIS CHINENSIS) [HOC]	COPTIS CHINENSIS
COPTIS CHINENSIS FRANCH.	COPTIS CHINENSIS
SURENUS SINENSIS WHOLE	TOONA SINENSIS
CEDRELA GLABRA WHOLE	TOONA SINENSIS
TOONA GLABRA WHOLE	TOONA SINENSIS
AILANTHUS FLAVESCENS WHOLE	TOONA SINENSIS
TOONA SINENSIS (JUSS.) M.ROEM.	TOONA SINENSIS
TOONA LONGIFOLIA WHOLE	TOONA SINENSIS
AILANTHUS MAIREI WHOLE	TOONA SINENSIS
CEDRELA SINENSIS WHOLE	TOONA SINENSIS
TOONA SINENSIS WHOLE	TOONA SINENSIS
EUROPEAN BLACK ELDERBERRY WHOLE	SAMBUCUS NIGRA
EUROPEAN BLACK ELDER WHOLE	SAMBUCUS NIGRA
BLACK ELDERBERRY WHOLE	SAMBUCUS NIGRA
EUROPEAN ELDER [HOC]	SAMBUCUS NIGRA
SAMBUCUS AUREA WHOLE	SAMBUCUS NIGRA
SAMBUCUS NIGRA L.	SAMBUCUS NIGRA
SAMBUCUS PYRAMIDATA WHOLE	SAMBUCUS NIGRA
SAMBUCUS VULGARIS WHOLE	SAMBUCUS NIGRA
SAMBUCUS ALBA WHOLE	SAMBUCUS NIGRA
EUROPEAN ELDERBERRY WHOLE	SAMBUCUS NIGRA
SAMBUCUS LACINIATA WHOLE	SAMBUCUS NIGRA
ELDERBERRY WHOLE	SAMBUCUS NIGRA
SAMBUCUS NIGRA WHOLE	SAMBUCUS NIGRA
ELDER WHOLE	SAMBUCUS NIGRA
SAMBUCUS ARBORESCENS WHOLE	SAMBUCUS NIGRA
SAMBUCUS VIRESCENS WHOLE	SAMBUCUS NIGRA
COMMON ELDERBERRY WHOLE	SAMBUCUS NIGRA
SAMBUCUS ROTUNDIFOLIA WHOLE	SAMBUCUS NIGRA
GARCINIA GERRARDII HARV. EX SIM	GARCINIA GERRARDII
GARCINIA TRANSVAALENSIS WHOLE	GARCINIA GERRARDII
GARCINIA GERRARDII WHOLE	GARCINIA GERRARDII
GARCINIA NATALENSIS WHOLE	GARCINIA GERRARDII
GOLDENSEAL [HOC]	HYDRASTIS CANADENSIS
HYDRASTIS CANADENSIS WHOLE	HYDRASTIS CANADENSIS
HYDRASTIS TRIFOLIA WHOLE	HYDRASTIS CANADENSIS
YELLOW WHOLE	HYDRASTIS CANADENSIS
YELLOW PUCCOON WHOLE	HYDRASTIS CANADENSIS
GOLDENSEAL WHOLE	HYDRASTIS CANADENSIS
WARNERIA CANADENSIS WHOLE	HYDRASTIS CANADENSIS
HYDRASTIS CANADENSIS L.	HYDRASTIS CANADENSIS
BALSAMEA MUKUL WHOLE	COMMIPHORA MUKUL
COMMIPHORA MUKUL (HOOK. EX STOCKS) ENGL.	COMMIPHORA MUKUL
BDELLIUM TREE WHOLE	COMMIPHORA MUKUL
GUGGUL WHOLE	COMMIPHORA MUKUL
GUGGUL [HOC]	COMMIPHORA MUKUL
COMMIPHORA MUKUL [WHO-DD]	COMMIPHORA MUKUL
COMMIPHORA MUKUL WHOLE	COMMIPHORA MUKUL
COMMIPHORA ROXBURGHII WHOLE	COMMIPHORA MUKUL
FALSE MYRRH WHOLE	COMMIPHORA MUKUL
BALSAMODENDRUM MUKUL WHOLE	COMMIPHORA MUKUL
GUGGULU WHOLE	COMMIPHORA MUKUL
EPIMEDIUM PUBESCENS WHOLE	EPIMEDIUM PUBESCENS
EPIMEDIUM PUBESCENS MAXIM.	EPIMEDIUM PUBESCENS
EPIMEDIUM (EPIMEDIUM PUBESCENS) [HOC]	EPIMEDIUM PUBESCENS
ROU MA YIN YANG HUO WHOLE	EPIMEDIUM PUBESCENS
YINYANGHUO WHOLE	EPIMEDIUM PUBESCENS
HERBA EPIMEDII WHOLE	EPIMEDIUM PUBESCENS
PUBESCENT EPIMEDIUM WHOLE	EPIMEDIUM PUBESCENS
WESTERN SCOURINGRUSH WHOLE	EQUISETUM HYEMALE
SCOURINGRUSH	EQUISETUM HYEMALE
EQUISETUM HYEMALE	EQUISETUM HYEMALE
TALL SCOURING-RUSH WHOLE	EQUISETUM HYEMALE
EQUISETUM HYEMALE WHOLE	EQUISETUM HYEMALE
SCOURINGRUSH HORSETAIL WHOLE	EQUISETUM HYEMALE
SCOURING RUSH [HOC]	EQUISETUM HYEMALE
HORSETAIL (EQUISETUM HYEMALE) [HOC]	EQUISETUM HYEMALE
EQUISETUM HYEMALE [WHO-DD]	EQUISETUM HYEMALE
HIPPOHAETE HYEMALIS WHOLE	EQUISETUM HYEMALE
EQUISETUM PRAEALTUM WHOLE	EQUISETUM HYEMALE
DUTCH RUSH	EQUISETUM HYEMALE
EQUISETUM HYEMALE [HPUS]	EQUISETUM HYEMALE
SCOURING HORSETAIL WHOLE	EQUISETUM HYEMALE
ROUGH HORSETAIL	EQUISETUM HYEMALE
GLYCYRRHIZA OFFICINALIS WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA BRACHYCARPA WHOLE	GLYCYRRHIZA GLABRA
SPANISH LIQUORICE WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA URALENSIS FISCH. EX DC.	GLYCYRRHIZA URALENSIS
GLYCYRRHIZA VULGARIS WHOLE	GLYCYRRHIZA GLABRA
MERISTOTROPIS PAUCIFLORA WHOLE	GLYCYRRHIZA INFLATA
WU LA GAN CAO WHOLE	GLYCYRRHIZA URALENSIS
SPANISH LICORICE WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA GLABRA L.	GLYCYRRHIZA GLABRA
URAL LICORICE WHOLE	GLYCYRRHIZA URALENSIS
CHINESE LICORICE (GLYCYRRHIZA INFLATA) [HOC]	GLYCYRRHIZA INFLATA
GLYCYRRHIZA INFLATA WHOLE	GLYCYRRHIZA INFLATA
MERISTOTROPIS PAUCIFOLIOLATA WHOLE	GLYCYRRHIZA INFLATA
XINJIANG LICORICE WHOLE	GLYCYRRHIZA INFLATA
GAN CAO WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA EURYCARPA WHOLE	GLYCYRRHIZA INFLATA
LIQUIRITIA OFFICINALIS WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA GLANDULIFERA WHOLE	GLYCYRRHIZA GLABRA
TURKISH LICORICE WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA HIRSUTA WHOLE	GLYCYRRHIZA GLABRA
GUANG GUO GAN CAO WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA GLABRA WHOLE	GLYCYRRHIZA GLABRA
RUSSIAN LICORICE WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA URALENSIS [WHO-DD]	GLYCYRRHIZA URALENSIS
COMMON LICORICE WHOLE	GLYCYRRHIZA GLABRA
YASHTIMADHU WHOLE	GLYCYRRHIZA GLABRA
LICORICE (GLYCYRRHIZA GLABRA) [HOC]	GLYCYRRHIZA GLABRA
GLYCYRRHIZA INFLATA [WHO-DD]	GLYCYRRHIZA INFLATA
GLYCYRRHIZA PALLIDA WHOLE	GLYCYRRHIZA GLABRA
CULTIVATED LICORICE WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA INFLATA BATALIN	GLYCYRRHIZA INFLATA
COMMON LIQUORICE WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA HEDINIANA WHOLE	GLYCYRRHIZA INFLATA
GLYCYRRHIZA URALENSIS WHOLE	GLYCYRRHIZA URALENSIS
GLYCYRRHIZA LAEVIS WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA GLABRA [WHO-DD]	GLYCYRRHIZA GLABRA
CHINESE LICORICE (GLYCYRRHIZA URALENSIS) [HOC]	GLYCYRRHIZA URALENSIS
LIQUIRITIA OFFICINARUM WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA VIOLACEA WHOLE	GLYCYRRHIZA GLABRA
GLYCYRRHIZA PAUCIFOLIOLATA WHOLE	GLYCYRRHIZA INFLATA
SENNA ALEXANDRINA [WHO-DD]	SENNA ALEXANDRINA
JALELO WHOLE	SENNA ALEXANDRINA
BHUIKHAKHASA WHOLE	SENNA ALEXANDRINA
ALEXANDRIAN SENNA WHOLE	SENNA ALEXANDRINA
CASSIA ELONGATA WHOLE	SENNA ALEXANDRINA
CASSIA DECIPIENS WHOLE	SENNA ALEXANDRINA
CASSIA LIGUSTRINOIDES WHOLE	SENNA ALEXANDRINA
SANA WHOLE	SENNA ALEXANDRINA
SENNA ALEXANDRINA WHOLE	SENNA ALEXANDRINA
INDIAN SENNA WHOLE	SENNA ALEXANDRINA
CASSIA MEDICA WHOLE	SENNA ALEXANDRINA
SENNA [HOC]	SENNA ALEXANDRINA
CASSIA EHRENBERGII WHOLE	SENNA ALEXANDRINA
KASSIYA OSTROLISTNAYA WHOLE	SENNA ALEXANDRINA
SVARNAPATRI WHOLE	SENNA ALEXANDRINA
AFRIKANSKAYA SENNA WHOLE	SENNA ALEXANDRINA
CASSIA ACUTIFOLIA WHOLE	SENNA ALEXANDRINA
TINNEVELLY SENNA WHOLE	SENNA ALEXANDRINA
CASSIA MEDICINALIS WHOLE	SENNA ALEXANDRINA
BOMBAY SENNA WHOLE	SENNA ALEXANDRINA
CASSIA ALEXANDRINA WHOLE	SENNA ALEXANDRINA
SENNA ANGUSTIFOLIA WHOLE	SENNA ALEXANDRINA
CASSIA ORIENTALIS WHOLE	SENNA ALEXANDRINA
CASSIA AETHIOPICA WHOLE	SENNA ALEXANDRINA
TRUE SENNA WHOLE	SENNA ALEXANDRINA
SENNA-I-MAKKI WHOLE	SENNA ALEXANDRINA
CASSIA LANCEOLATA WHOLE	SENNA ALEXANDRINA
SENNA ALEXANDRINA MILL.	SENNA ALEXANDRINA
SENNA ACUTIFOLIA WHOLE	SENNA ALEXANDRINA
CASSIA ANGUSTIFOLIA WHOLE	SENNA ALEXANDRINA
CASSIA OVATA WHOLE	SENNA ALEXANDRINA
CASSE WHOLE	SENNA ALEXANDRINA
SENNA OFFICINALIS WHOLE	SENNA ALEXANDRINA
HINDISANA WHOLE	SENNA ALEXANDRINA
SENNA WHOLE	SENNA ALEXANDRINA
CASSIA SENNA WHOLE	SENNA ALEXANDRINA
CASSIA LENITIVA WHOLE	SENNA ALEXANDRINA
PINUS LUCIDA WHOLE	ABIES ALBA
ABIES TENUIRIFOLIA WHOLE	ABIES ALBA
ABIES DUPLEX WHOLE	ABIES ALBA
PEUCE ABIES WHOLE	ABIES ALBA
ABIES MINOR WHOLE	ABIES ALBA
PICEA METENSIS WHOLE	ABIES ALBA
ABIES RINZII WHOLE	ABIES ALBA
ABIES BALDENSIS WHOLE	ABIES ALBA
PICEA RINZI WHOLE	ABIES ALBA
PICEA PYRAMIDALIS WHOLE	ABIES ALBA
SILVER FIR WHOLE	ABIES ALBA
ABIES METENSIS WHOLE	ABIES ALBA
ABIES VULGARIS WHOLE	ABIES ALBA
ABIES TAXIFOLIA WHOLE	ABIES ALBA
PINUS PICEA WHOLE	ABIES ALBA
ABIES ARGENTEA WHOLE	ABIES ALBA
PINUS BALDENSIS WHOLE	ABIES ALBA
PICEA PECTINATA WHOLE	ABIES ALBA
ABIES ALBA MILL.	ABIES ALBA
PICEA TENUIFOLIA WHOLE	ABIES ALBA
PINUS HETEROPHYLLA WHOLE	ABIES ALBA
ABIES CANDICANS WHOLE	ABIES ALBA
PINUS ALBA WHOLE	ABIES ALBA
ABIES PARDEI WHOLE	ABIES ALBA
ABIES ALBA [WHO-DD]	ABIES ALBA
PICEA KUKUNARIA WHOLE	ABIES ALBA
ABIES ABIES WHOLE	ABIES ALBA
ABIES MINIATA WHOLE	ABIES ALBA
ABIES ALBA WHOLE	ABIES ALBA
ABIES NOBILIS WHOLE	ABIES ALBA
ABIES CHLOROCARPA WHOLE	ABIES ALBA
PINUS PECTINATA WHOLE	ABIES ALBA
SILVER WATTLE WHOLE	ACACIA DEALBATA
ACACIA DERWENTII WHOLE	ACACIA DEALBATA
SYDNEY BLACK WATTLE WHOLE	ACACIA DEALBATA
ACACIA DECURRENS VAR. DEALBATA WHOLE	ACACIA DEALBATA
ACACIA AFFINIS WHOLE	ACACIA DEALBATA
ACACIA DEALBATA WHOLE	ACACIA DEALBATA
RACOSPERMA DEALBATUM WHOLE	ACACIA DEALBATA
ACACIA BERNIER WHOLE	ACACIA DEALBATA
MIMOSA DEALBATA WHOLE	ACACIA DEALBATA
ACACIA DEALBATA LINK	ACACIA DEALBATA
ACACIA PUBERULA WHOLE	ACACIA DEALBATA
MIMOSA WHOLE	ACACIA DEALBATA
WESTERN AUSTRALIAN GOLDEN WATTLE WHOLE	ACACIA SALIGNA
ORANGE WATTLE WHOLE	ACACIA SALIGNA
ACACIA SALIGNA (LABILL.) WENDL. F.	ACACIA SALIGNA
BLUE-WHOLEED WATTLE WHOLE	ACACIA SALIGNA
COOJONG WHOLE	ACACIA SALIGNA
ACACIA SALIGNA (LABILL.) H.L. WENDL.	ACACIA SALIGNA
ACACIA SALIGNA WHOLE	ACACIA SALIGNA
ACACIA CYANOPHYLLA WHOLE	ACACIA SALIGNA
PORT JACKSON WILLOW WHOLE	ACACIA SALIGNA
GOLDEN WREATH WATTLE WHOLE	ACACIA SALIGNA
ACACIA CYANOPHYLLA LINDL.	ACACIA SALIGNA
RICINOCARPUS FRUTICOSUS WHOLE	ACALYPHA FRUTICOSA
ACALYPHA FRUTICOSA FORSSK.	ACALYPHA FRUTICOSA
ACALYPHA FRUTICOSA WHOLE	ACALYPHA FRUTICOSA
BEAR'S BREECH [HOC]	ACANTHUS MOLLIS
ACANTHUS LUSITANICUS WHOLE	ACANTHUS MOLLIS
SEA-DOCK WHOLE	ACANTHUS MOLLIS
ARTIST'S ACANTHUS WHOLE	ACANTHUS MOLLIS
ACANTHUS MOLLIS [WHO-DD]	ACANTHUS MOLLIS
ACANTHUS MOLLIS L.	ACANTHUS MOLLIS
ACANTHUS NIGER WHOLE	ACANTHUS MOLLIS
ACANTHUS LATIFOLIUS WHOLE	ACANTHUS MOLLIS
ACANTHUS PLATYPHYLLUS WHOLE	ACANTHUS MOLLIS
ACANTHUS LONGIFOLIUS WHOLE	ACANTHUS MOLLIS
BEAR'S BREECH WHOLE	ACANTHUS MOLLIS
ACANTHUS HISPANICUS WHOLE	ACANTHUS MOLLIS
ACANTHUS MOLLIS WHOLE	ACANTHUS MOLLIS
ACER MONO WHOLE	ACER PICTUM
ACER OKAMOTOANUM WHOLE	ACER PICTUM
ACER MARMORATUM WHOLE	ACER PICTUM
ACER PICTUM WHOLE	ACER PICTUM
ACER AMBIGUUM WHOLE	ACER PICTUM
ACER DIPPELII WHOLE	ACER PICTUM
ACER PICTUM THUNB.	ACER PICTUM
ACER LATILOBUM WHOLE	ACER PICTUM
ACER MAYRII WHOLE	ACER PICTUM
RUFACER RUBRUM WHOLE	ACER RUBRUM
ACER HYPOLEUCUM WHOLE	ACER RUBRUM
ACER GLAUCUM WHOLE	ACER RUBRUM
ACER WAGNERI WHOLE	ACER RUBRUM
ACER SANGUINEUM WHOLE	ACER RUBRUM
ACER RUBRUM [WHO-DD]	ACER RUBRUM
ACER FULGENS WHOLE	ACER RUBRUM
ACER SEMIORBICULATUM WHOLE	ACER RUBRUM
RUFACER DRUMMONDII WHOLE	ACER RUBRUM
ACER CAROLINIANUM WHOLE	ACER RUBRUM
ACER SPLENDENS WHOLE	ACER RUBRUM
ACER DRUMMONDII WHOLE	ACER RUBRUM
ACER COCCINEUM WHOLE	ACER RUBRUM
ACER RUBRUM L.	ACER RUBRUM
ACER RUBRUM WHOLE	ACER RUBRUM
ACER TOMENTOSUM WHOLE	ACER RUBRUM
RED MAPLE WHOLE	ACER RUBRUM
RUFACER CAROLINIANUM WHOLE	ACER RUBRUM
ACER STENOCARPUM WHOLE	ACER RUBRUM
ACHILLEA AGERATUM WHOLE	ACHILLEA AGERATUM
ACHILLEA VISCOSA WHOLE	ACHILLEA AGERATUM
ACHILLEA AGERATUM L.	ACHILLEA AGERATUM
SWEET YARROW WHOLE	ACHILLEA AGERATUM
CONFORATA AGERATUM WHOLE	ACHILLEA AGERATUM
SWEET-NANCY WHOLE	ACHILLEA AGERATUM
ACHILLEA PECTEN-VENERIS WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ANETHIFOLIA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA CRISTATA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA OSSICA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ASPLENIIFOLIA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA BOREALIS WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA LAXIFLORA WHOLE	ACHILLEA MILLEFOLIUM
WESTERN YARROW WHOLE	ACHILLEA MILLEFOLIUM
MILFOIL WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA BICOLOR WHOLE	ACHILLEA MILLEFOLIUM
NOSEBLEED PLANT WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA GIGANTEA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA SUBHIRSUTA WHOLE	ACHILLEA MILLEFOLIUM
MILENRAMA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLIOS MILLEFOLIATUS WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA CUSPIDATA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA AMBIGUA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA OCCIDENTALIS WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ALPICOLA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA PRATENSIS WHOLE	ACHILLEA MILLEFOLIUM
SOLDIER'S WOUNDWORT WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ALBICAULIS WHOLE	ACHILLEA MILLEFOLIUM
YARROW (ACHILLEA MILLEFOLIUM VAR. OCCIDENTALIS) [HOC]	ACHILLEA MILLEFOLIUM
CARPENTER'S WEED WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA CORONOPIFOLIA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA HAENKEANA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM HERB [WHO-DD]	ACHILLEA MILLEFOLIUM
ACHILLEA CALIFORNICA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA TOMENTOSA WHOLE	ACHILLEA MILLEFOLIUM
CHAMAEMELUM MILLEFOLIUM WHOLE	ACHILLEA MILLEFOLIUM
YARROW (ACHILLEA MILLEFOLIUM) [HOC]	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM [WHO-DD]	ACHILLEA MILLEFOLIUM
ACHILLEA MEGACEPHALA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ARENICOLA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM VAR. OCCIDENTALIS WHOLE	ACHILLEA MILLEFOLIUM
COMMON YARROW WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA COMPACTA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA FUSCA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ERADIATA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA DENTIFERA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM HERB	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA PACIFICA WHOLE	ACHILLEA MILLEFOLIUM
ALITUBUS TOMENTOSUS WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA SUBALPINA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA SETACEA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MAGNA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA OCHROLEUCA WHOLE	ACHILLEA MILLEFOLIUM
YARROW WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA CERETANICA WHOLE	ACHILLEA MILLEFOLIUM
DEVIL'S NETTLE WHOLE	ACHILLEA MILLEFOLIUM
CHAMAEMELUM TANACETIFOLIUM WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA INTERMEDIA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA NABELEKII WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA PALMERI WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA POLYPHYLLA WHOLE	ACHILLEA MILLEFOLIUM
ALITUBUS MILLEFOLIUM WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MARGINATA WHOLE	ACHILLEA MILLEFOLIUM
BLOODWORT WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA PSEUDOTANACETIFOLIA WHOLE	ACHILLEA MILLEFOLIUM
ALCHEMILLA MAGNA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM L.	ACHILLEA MILLEFOLIUM
ACHILLEA LANULOSA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA SORDIDA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA TENUIS WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA VIRGATA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA CRASSIFOLIA WHOLE	ACHILLEA MILLEFOLIUM
YARROW [HOC]	ACHILLEA MILLEFOLIUM
ACHILLEA ALBIDA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA PUBERULA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA SUBMELLIFOLIUM WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA MILLEFOLIUM	ACHILLEA MILLEFOLIUM
ACHILLEA SYLVATICA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA ANGUSTISSIMA WHOLE	ACHILLEA MILLEFOLIUM
ACHILLEA NOBILIS L.	ACHILLEA NOBILIS
ACHILLEA PUBESCENS WHOLE	ACHILLEA NOBILIS
NOBLE YARROW WHOLE	ACHILLEA NOBILIS
ACHILLEA HISPANICA WHOLE	ACHILLEA NOBILIS
ACHILLEA FRUTICULOSA WHOLE	ACHILLEA NOBILIS
ACHILLEA SCHKUHRII WHOLE	ACHILLEA NOBILIS
CHAMAEMELUM ACHILLEUM WHOLE	ACHILLEA NOBILIS
ACHILLEA ODORATA WHOLE	ACHILLEA NOBILIS
ACHILLEA NOBILIS WHOLE	ACHILLEA NOBILIS
ACHILLEA ERIDANIA WHOLE	ACHILLEA NOBILIS
ACHILLEA LIGUSTICA WHOLE	ACHILLEA NOBILIS
ACHILLEA GERBERI WHOLE	ACHILLEA NOBILIS
ACHILLEA PAUCIDENTATA WHOLE	ACHILLEA NOBILIS
ACHILLEA CAMPHORATA WHOLE	ACHILLEA NOBILIS
ACHILLEA CORYMBIFERA WHOLE	ACHILLEA NOBILIS
ACHILLEA PECTINATA WHOLE	ACHILLEA NOBILIS
ACHILLEA GRATA WHOLE	ACHILLEA NOBILIS
ACHILLEA DECIPIENS WHOLE	ACHILLEA NOBILIS
ACHILLEA CYLINDRICA WHOLE	ACHILLEA NOBILIS
ACHILLEA PUNCTATA WHOLE	ACHILLEA NOBILIS
CHAMAEMELUM GERBERI WHOLE	ACHILLEA NOBILIS
CALAMUS [HOC]	ACORUS CALAMUS
CALAMUS AROMATICUS WHOLE	ACORUS CALAMUS
CALAMUS WHOLE	ACORUS CALAMUS
ACORUS WHOLE	ACORUS CALAMUS
ACORUS CALAMUS [WHO-DD]	ACORUS CALAMUS
SWEET FLAG WHOLE	ACORUS CALAMUS
SWEET-FLAG WHOLE	ACORUS CALAMUS
VACHA WHOLE	ACORUS CALAMUS
ACORUS CALAMUS WHOLE	ACORUS CALAMUS
SWEET CALAMUS WHOLE	ACORUS CALAMUS
SWEETFLAG WHOLE	ACORUS CALAMUS
ACORUS CALAMUS L.	ACORUS CALAMUS
BOTROPHIS PUMILA WHOLE	ACTAEA RACEMOSA
ACTAEA RACEMOSA L.	ACTAEA RACEMOSA
MACROTRYS ACTAEOIDES WHOLE	ACTAEA RACEMOSA
RATTLEWHOLE	ACTAEA RACEMOSA
CIMICIFUGA RACEMOSA WHOLE	ACTAEA RACEMOSA
BLACK SNAKEROOT WHOLE	ACTAEA RACEMOSA
FAIRY CANDLE WHOLE	ACTAEA RACEMOSA
ACTAEA GYROSTACHYA WHOLE	ACTAEA RACEMOSA
BLACK BUGBANE WHOLE	ACTAEA RACEMOSA
