"p1"	"upper"
ULMUS DIVERSIFOLIA WHOLE	GENTIANA LUTEA
THAPSIA MAROCANA WHOLE	SWERTIA PSEUDOCHINENSIS
BLUMEA HOLOSERICEA WHOLE	SILENE LATIFOLIA
CASTANEA CHINCAPIN WHOLE	ACHILLEA NOBILIS
CAPRARIA MONNIERIA WHOLE	HANDROANTHUS HEPTAPHYLLUS
DOUGLAS SPRUCE WHOLE	CRATAEGUS MONOGYNA
DIPLOTAXIS VALENTINA WHOLE	CYPERUS ROTUNDUS
POLYGALA AMARA L.	CALLUNA VULGARIS
SWEET WORMWOOD [HOC]	VICIA FABA
DULLLEAF INDIGO WHOLE	PAPAVER RHOEAS
BOLETUS MARGINATUS WHOLE	CAPSELLA BURSA-PASTORIS
PROFESSOR-WEED WHOLE	URENA LOBATA
TRIFOLIUM CORNICULATUM WHOLE	CLARKIA PURPUREA
VERONICA CHAMAEDRYA WHOLE	FRAXINUS AMERICANA
COOL-TANKARD WHOLE	SABAL MINOR
WHITE DUTCH CLOVER WHOLE	VICIA SATIVA
FICUS SALIX WHOLE	ASTRAGALUS MONSPESSULANUS
MONKEYSOAP WHOLE	RUBUS CUNEIFOLIUS
SALIX MATSUDANA WHOLE	ASCLEPIAS INCARNATA
RUBUS PARVIFOLIUS [WHO-DD]	PLECTRANTHUS ESCULENTUS
PICEA ABIES WHOLE	SENECIO FISTULOSUS
BIDENS SCANDICINA WHOLE	CYANTHILLIUM CINEREUM
RIVINA VIRIDIFLORA WHOLE	CRATAEGUS AZAROLUS
GNAPHALIUM POLYCEPHALUM [WHO-DD]	HORSETAIL
HERPESTIS BROWNEI WHOLE	LICORICE
GYNURA ASPERA WHOLE	MORELLA CERIFERA
ROSA BURNATII WHOLE	COMMELINA DIFFUSA
ANNATTO [HOC]	AESCULUS PAVIA
EUROPEAN PENNYROYAL WHOLE	SMILAX ROTUNDIFOLIA
MORINDA BRACTEATA WHOLE	CENTAUREA BENEDICTA
COMMON WATER HYACINTH WHOLE	ACHILLEA NOBILIS
FRAGRANT EVERLASTING	ULMUS MINOR
PRENANTHES LACINIATA WHOLE	GLADIOLUS DALENII
OREJON WHOLE	STADMANIA OPPOSITIFOLIA
ANEMOPSIS CALIFORNICA (NUTT.) HOOK. & ARN.	MITCHELLA REPENS
LEPIDIUM ARVENSE WHOLE	CAPSELLA BURSA-PASTORIS
DISPERMA REPENS WHOLE	GLYCINE MAX
CAPSELLA LOBULATA WHOLE	ASTRAGALUS PROPINQUUS
COLA NITIDA	OPLOPANAX HORRIDUS
RUSCUS DUMOSUS WHOLE	MOMORDICA COCHINCHINENSIS
MEXICAN HEDGENETTLE WHOLE	UNCARIA TOMENTOSA
BIGARADE ORANGE WHOLE	SWERTIA LEDUCII
FOMES ALBUS WHOLE	CHIMAPHILA UMBELLATA
ASTRAGALUS MONSPESSULANUS L.	DAPHNE SERICEA
NIPPLEWORT	ARTEMISIA ANNUA
SMILAX BINCHUANENSIS [WHO-DD]	TRIBULUS TERRESTRIS
ALCEA CRETICA WHOLE	AMOMUM VILLOSUM
EUGENIA AMANUENSIS WHOLE	SCHOENOPLECTUS TABERNAEMONTANI
SHORTLEAF BLACK SPRUCE WHOLE	SESELI LIBANOTIS
GLYCYRRHIZA HIRSUTA WHOLE	OPLOPANAX HORRIDUS
DESMODIUM GLUTINOSUM WHOLE	TEUCRIUM BOTRYS
EUZOMUM SATIVUM WHOLE	OENANTHE AQUATICA
CALADIUM ODORATUM WHOLE	SALVIA VERBENACA
ULMUS WYSSOTZKY WHOLE	CENTROSEMA VIRGINIANUM
MIKANIA MOLINENSIS WHOLE	CRATAEGUS MONOGYNA
AFROLICANIA ELAEOSPERMA	PSEUDOGNAPHALIUM OBTUSIFOLIUM
YELLOW BEET	SENNA OCCIDENTALIS
SENNA OCCIDENTALIS [WHO-DD]	QUERCUS ILEX
ROMERILLO WHOLE (BIDENS PILOSA)	AGELAEA PENTAGYNA
THUJA WAREANA WHOLE	ERIGERON FLORIBUNDUS
MALVINDA ANGUSTIFOLIA WHOLE	MANDRAGORA OFFICINARUM
HELEOPHYLAX TABERNAEMONTANI WHOLE	LUDWIGIA PEPLOIDES
ORANGEGRASS WHOLE	CARCHARHINUS LEUCAS
PAVIA WILLDENOWIANA WHOLE	ACTAEA RACEMOSA
ACHILLEA SETACEA WHOLE	XANTHIUM STRUMARIUM
AMANITA RUBESCENS WHOLE	BARBERRY
CICHORIUM BYZANTHINUM WHOLE	URENA LOBATA
APIUM CELLERI WHOLE	DIOSCOREA VILLOSA
NICOTIANA GLAUCA WHOLE	BERBERIS VULGARIS
COMMON FIG WHOLE	ROSA CANINA
EMILIA SONCHIFOLIA WHOLE	CYPERUS ROTUNDUS
SPHAGNUM SQUARROSUM WHOLE	ASTRAGALUS MONSPESSULANUS
LEONTICE THALICTRIFOLIUM WHOLE	GINGER
ROBINIA INERMIS WHOLE	CARYA ALBA
STACHYS CALIFORNICA WHOLE	TRAMETES VERSICOLOR
BRASSICA OLERACEA [WHO DD]	AMANITA RUBESCENS
WOODLAND BURDOCK WHOLE	GINKGO BILOBA
COTTON CUDWEED WHOLE	OCIMUM TENUIFLORUM
THUNBERGIA STOLONIFERA WHOLE	RUBUS FLAGELLARIS
HYMENOSPERMUM DENTATUM WHOLE	SALVIA VERBENACA
CUMINUM AEGYPTIACUM WHOLE	OPLOPANAX HORRIDUS
ASCLEPIAS INCARNATA [WHO-DD]	EMILIA SONCHIFOLIA
PHYSALIS MONTICOLA WHOLE	TABERNAEMONTANA DIVARICATA
PYCNANTHEMUM ELONGATUM WHOLE	LUDWIGIA PEPLOIDES
GLOSSY BUCKTHORN WHOLE	VITEX DONIANA
MALVA RACEMOSA WHOLE	PTERIDIUM AQUILINUM
PULEGIUM DAGHESTANICUM WHOLE	ENTEROLOBIUM CYCLOCARPUM
TAMARIX ELEGANS WHOLE	SILYBUM MARIANUM
ASCLEPIAS PERENNIS WHOLE	CAPSELLA BURSA-PASTORIS
MENTHA SPICATA WHOLE	BAUHINIA LONGIFOLIA
SPHAERIA MILITARIS WHOLE	CERATONIA SILIQUA
VEREIA AEGYPTIACA WHOLE	DELONIX REGIA
ASCLEPIAS PARVULA WHOLE	CERATONIA SILIQUA
DIOSPYROS CILIATA WHOLE	FICUS CARICA
JAPANESE MAT RUSH WHOLE	ARUNDO DONAX
QUERCUS ULIGINOSA WHOLE	SOLIDAGO ODORA
BAROSMA ORBICULARIS WHOLE	CYANTHILLIUM CINEREUM
LYCOPUS AMERICANUS MUHL. EX W.P.C.BARTON	COMBRETUM MOLLE
SALVIA DIGYNA WHOLE	VITIS AESTIVALIS
ENTEROLOBIUM CYCLOCARPA WHOLE	CROTON STELLATOPILOSUS
YUN XIANG	CYPERUS ROTUNDUS
COLLINSIA PARVIFLORA WHOLE	THONNINGIA SANGUINEA
BERBERIS HAKODATE WHOLE	CYANTHILLIUM CINEREUM
COCO-GRASS WHOLE	LICORICE
ESCHSCHOLZIA XYLORRHIZA WHOLE	PAULLINIA CUPANA
THELYPTERIS MACRORHIZOMA WHOLE	ROSA CANINA
DAPHNE CANTABRICA WHOLE	ULMUS MINOR
ACACIA HEMU WHOLE	MILK THISTLE
BUPLEURUM CHINENSE WHOLE	COPTIS
DITREMEXA CAROLINIANA WHOLE	RUTA GRAVEOLENS
ANTHYLLIS SERPENTINII WHOLE	QUERCUS NIGRA
RICINUS GIGANTEUS WHOLE	ABIES ALBA
SEA ONION WHOLE	BRASSICA RAPA
SEA FENNEL	PASPALUM NOTATUM
VERBASCUM THAPSUS L.	PELTANDRA VIRGINICA
CABBAGE PALM [HOC]	SAMBUCUS NIGRA
RUBUS THUNBERGII WHOLE	LYCIUM BARBARUM
URENA LOBATA WHOLE	CYANTHILLIUM CINEREUM
STILLINGIA SYLVATICA [WHO-DD]	ULMUS MINOR
CHIMAPHILA UMBELLATA (L.) W. BARTRAM	VICIA FABA
FIVE-WHOLE GINSENG WHOLE	MERTESIA VIRGINICA
SOLANUM GANCHOUENENSE WHOLE	GLYCINE MAX
THYMBRA CAPITATA	TRAMETES VERSICOLOR
MANDRAGORA OFFICINARUM WHOLE	MARKHAMIA LUTEA
SESBAN WHOLE	DIANTHUS CARTHUSIANORUM
PRUNELLA VULGARIS [WHO-DD]	CALLUNA VULGARIS
BERBERIS AURAHUACENSIS WHOLE	DIPSACUS FULLONUM
CORYDALIS BUNGEANA [WHO-DD]	FOMITOPSIS PINICOLA
TEUCRIUM CHAMAEDRYS WHOLE	CAMPSIS RADICANS
ROSA ACANTHINA WHOLE	CYPERUS ROTUNDUS
MOMORDICA ECIRRHATA WHOLE	ASARUM CANADENSE
CASSIA LIGUSTRINOIDES WHOLE	JUNIPERUS COMMUNIS
SMILAX GLABRA	AFRAMOMUM MELEGUETA
THYMUS NEPETOIDES WHOLE	TEUCRIUM BOTRYS
CITRUS X RESHNI WHOLE	HEUCHERA CYLINDRICA
STICKMANNIA OVALIFOLIA WHOLE	PSEUDOTSUGA MENZIESII
ERUCA VESICARIA (L.) CAV.	SAUSSUREA INVOLUCRATA
ESCHSCHOLZIA BENEDICTA WHOLE	MITRACARPUS HIRTUS
PASTINACA GRAVEOLENS WHOLE	CRITHMUM MARITIMUM
HORSETAIL (EQUISETUM HYEMALE) [HOC]	CURCUMA LONGA
AGRIMONIA ADSCENDENS WHOLE	ZALUZIANSKYA CAPENSIS
VERBENA TRIPHYLLA WHOLE	DACTYLORHIZA INCARNATA
SCALLOPED HAMMERHEAD SHARK WHOLE	FICUS CARICA
ESCHSCHOLZIA CROCEA WHOLE	EUGENIA BIFLORA
TRUE SENNA WHOLE	MIMOSA PUDICA
FLORIDA SAND PLUM WHOLE	SALIX NIGRA
BURSA ORIGO WHOLE	ALBATRELLUS CONFLUENS
HANDROANTHUS HEPTAPHYLLUS [WHO-DD]	VITIS AESTIVALIS
HIPPOPHAE SALICIFOLIA WHOLE	CITRULLUS LANATUS
CODONOPSIS GLABERRIMA WHOLE	CURCUMA LONGA
PHYSALIS VIRGINIANA WHOLE	LINARIA VULGARIS
MICROPTERYX CRISTA-GALLI WHOLE	AESCULUS HIPPOCASTANUM
GENTIANA REGELIANA WHOLE	ROSA CANINA
MIRABILIS JALAPA L.	RANUNCULUS ACRIS
TABERNAEMONTANA PENTASTICTA WHOLE	COLLINSIA PARVIFLORA
KALANCHOE AFZELIANA WHOLE	KNAUTIA ARVENSIS
POLYPORUS VERSICOLOR WHOLE	TRIBULUS TERRESTRIS
CAPSELLA BURSA-PASTORIS (L.) MEDIK.	CIRSIUM ERIOPHORUM
CEPHALANTHUS OCCIDENTALIS WHOLE	CENTAURIUM PULCHELLUM
MIKANIA BANISTERIAE DC.	GALIUM TRIFLORUM
SOLIDAGO ODORA WHOLE	MEDICAGO POLYMORPHA
AGELAEA TRIFOLIA WHOLE	ARDISIA CRENATA
NICOTIANA GLAUCA GRAHAM	AFROHYBANTHUS ENNEASPERMUS
PYRETHRUM VULGARE WHOLE	MIKANIA SCANDENS
CEPA ALBA WHOLE	PINUS MUGO
CASPARIA CONFUSA WHOLE	SIDA SPINOSA
CELTIS DURANDII WHOLE	MATRICARIA CHAMOMILLA
BERBERIS DUMETORUM WHOLE	ENDOTROPIS ALNIFOLIA
COMMON KIDNEY-VETCH WHOLE	SILENE LATIFOLIA
MEDICAGO FLEXUOSA WHOLE	CENTRANTHUS RUBER
WHITE WATERLILY WHOLE	LINARIA VULGARIS
SALVIA CERATOPHYLLA WHOLE	AMBROSIA ARTEMISIIFOLIA
ERYTHRAEA CASPICA WHOLE	TABERNAEMONTANA DIVARICATA
SALIX LUCIDA SUBSP. LASIANDRA WHOLE	GALIUM UNIFLORUM
QUERCUS NOVOMEXICANA WHOLE	SALVIA MICROPHYLLA
LEONURUS TRILOBATUS WHOLE	AGELAEA PENTAGYNA
EIN SIT WHOLE	ARISTOLOCHIA RUGOSA
LUDWIGIA ERECTA WHOLE	MELIA AZEDARACH
TRILOPUS HYEMALIS WHOLE	AMBROSIA ARTEMISIIFOLIA
BERBERIS CORALLINA WHOLE	ACANTHUS MOLLIS
CIRSIUM PUGNAX WHOLE	THYMBRA CAPITATA
CITRUS X FLORIDA WHOLE	BRASSICA JUNCEA
GALIUM ULIGINOSUM WHOLE	TAMARIX CHINENSIS
SALVIA LACINIATA WHOLE	GREWIA VILLOSA
BREADFRUIT WHOLE	CENTAURIUM ERYTHRAEA
CONYZA AMOENA WHOLE	SALVIA VERBENACA
PAPAVER COMMUTATUM WHOLE	IPOMOEA PANDURATA
EUPATORIUM CAESPITOSUM WHOLE	PICEA MARIANA
CODONOPSIS PILOSULA WHOLE	CAPSELLA BURSA-PASTORIS
KALANCHOE COCCINEA WHOLE	ALCHEMILLA XANTHOCHLORA
RHYNCHOSTYLIS ALBIFLORA WHOLE	URARIA CRINITA
MAIDEN BLUE EYED MARY WHOLE	PAPAVER SOMNIFERUM
CASSIA LUCIDA WHOLE	DELONIX REGIA
RUBUS NIGROBACCUS WHOLE	WISTERIA SINENSIS
SALVIA GASTERANTHA WHOLE	LIRIODENDRON TULIPIFERA
ANNUAL RAGWEED	CNIDOSCOLUS URENS
BRASSICA ERUCOIDES WHOLE	LONICERA JAPONICA
ANACTIS PILOSA WHOLE	CASTANEA MOLLISSIMA
FOREST BITTERBERRY WHOLE	GENTIANA PNEUMONANTHE
SERENOA REPENS [WHO-DD]	CANTINOA AMERICANA
GLYCINE MAX [WHO-DD]	ASCLEPIAS CURASSAVICA
ACHILLEA ERADIATA WHOLE	PELTANDRA VIRGINICA
GENTIANA LINIFOLIA WHOLE	CERATONIA SILIQUA
PERSIAN LILAC WHOLE	CASTANEA PUMILA
PLUCHEA INDICA [WHO-DD]	MATRICARIA CHAMOMILLA
BACTRIS MAJOR	REYNOUTRIA MULTIFLORA
PINUS KESIYA VAR. KESIYA WHOLE	BACOPA MONNIERI
TILIA CANADENSIS WHOLE	DAPHNE GNIDIUM
CELTIS LAEVIGATA WILLD.	MACLURA TINCTORIA
SAWTOOTH CORIANDER WHOLE	TODDALIA ASIATICA
MITRACARPUS SCABER WHOLE	INDIGOFERA HIRSUTA
PERSICARIA OPELOUSANA WHOLE	LUDWIGIA ERECTA
TURNERA MICROPHYLLA WHOLE	ALLIUM CEPA
SASSAFRAS ALBIDUM WHOLE	SAMBUCUS EBULUS
CARTHAMUS EXSUCCUS WHOLE	ARDISIA CRENATA
GYMNEMA AFFINE WHOLE	URENA LOBATA
POTAMOCHARIS MAMEI WHOLE	VICIA SATIVA
MUTARDA NIGRA WHOLE	CITRUS AURANTIUM
CAPSELLA FURCATA WHOLE	SAPOSHNIKOVIA DIVARICATA
FIELD POPPY WHOLE	PEUMUS BOLDUS
FALSE SCHISANDRA WHOLE	ALECTRA SESSILIFLORA
ROSA OREADES WHOLE	LEPIDIUM MEYENII
VACCINIUM HUMILE WHOLE	SALIX BABYLONICA
SALVIA ODORATISSIMA WHOLE	SENNA OCCIDENTALIS
HAHNIA TORMINALIS WHOLE	CENTROSEMA VIRGINIANUM
SALIX COLUMBIAE WHOLE	AMBROSIA ARTEMISIIFOLIA
LIBANOTIS VULGARIS WHOLE	ALLIUM PORRUM
GALLITRICHUM PRATENSE WHOLE	AZADIRACHTA INDICA
HAIRYPOD HEDGEMUSTARD WHOLE	MAGNOLIA GRANDIFLORA
ULMARIA ULMARIA WHOLE	PHYSALIS VIRGINIANA
ANGELICA SINENSIS	ANDROPOGON VIRGINICUS
QUERCUS MARILANDICA	ANGELICA SINENSIS
MENTHA SPICATA [WHO-DD]	AESCULUS PAVIA
CAPSELLA COLLINA WHOLE	MORUS RUBRA
EUTERPE BEARDII WHOLE	TANACETUM PARTHENIUM
FRAXINUS ALBA WHOLE	ARUNDO DONAX
LEPIDIUM AFFINE WHOLE	FOMES FOMENTARIUS
CEROTHAMNUS CERIFERUS WHOLE	TRAMETES VERSICOLOR
VACCINIUM TORREYANUM WHOLE	ULMUS MINOR
MEUM NEVADENSE WHOLE	CAPSELLA BURSA-PASTORIS
COMMON GREENBRIER WHOLE	ZALUZIANSKYA CAPENSIS
TRIBULUS ALBUS WHOLE	ILEX MUCRONATA
PTEROPHYLLUS SALISBURIENSIS WHOLE	COMBRETUM MOLLE
ROSA BELGRADENSIS WHOLE	HYPERICUM HYPERICOIDES
ZIZANIA CLAVULOSA WHOLE	SOLANUM LINNAEANUM
ULMUS NEMOROSA WHOLE	CENTROSEMA VIRGINIANUM
PRIONOPSIS CILIATA WHOLE	FRAXINUS AMERICANA
SALVIA MILTIORRHIZA BUNGE	BARBERRY
HARE'S EAR WHOLE (BUPLEURUM CHINENSE)	ARALIA RACEMOSA
DAPHNE OLEOIDES SCHREB.	ZANTHOXYLUM ARMATUM
ANGELICA GRAVEOLENS WHOLE	HELICHRYSUM GYMNOCEPHALUM
GLECHOMA CALAMINTHODES WHOLE	MALVA SYLVESTRIS
BOBERELLA HALIMIFOLIA WHOLE	TILIA AMERICANA
CACHRYS MARITIMA WHOLE	MELISSA OFFICINALIS
MIKANIA MARTIANA WHOLE	MORINDA CITRIFOLIA
MIKANIA CAUDATA WHOLE	BERBERIS VULGARIS
SCROPHULARIA SAMARITANII WHOLE	NASTURTIUM OFFICINALE
AESCULUS MEMMINGERI	CASTANEA SATIVA
QUERCUS COOKII WHOLE	VERONICA CHAMAEDRYS
IONIDIUM ERECTUM WHOLE	GOLDENSEAL
GLYCYRRHIZA PAUCIFOLIOLATA WHOLE	ACORUS CALAMUS
CAPSELLA MEDITERRANEA WHOLE	ZIZANIA AQUATICA
EUPATORIUM VALVERDEANUM WHOLE	CRATAEGUS SONGARICA
HYGROPHILA RIVULARIS WHOLE	CASTILLEJA MINIATA
SALVIA ANOMALA WHOLE	ESCHSCHOLZIA CALIFORNICA
BOKHARA-CLOVER WHOLE	VACCINIUM ANGUSTIFOLIUM
ELDER WHOLE	HYSSOPUS OFFICINALIS
ZANTHOXYLUM ARMATUM DC.	ARUNDO DONAX
NERIUM LATIFOLIUM WHOLE	RIVINA HUMILIS
ANDROPOGON SENNARENSIS WHOLE	SALVIA MACROSIPHON
SOAPWORT WHOLE	JUGLANS REGIA
HICORIUS DIGUETII WHOLE	CHELIDONIUM MAJUS
ACHILLEA BOREALIS WHOLE	SALVIA PRATENSIS
ABSINTHIUM OFFICINALE WHOLE	NASTURTIUM OFFICINALE
BURSA TURONIENSIS WHOLE	ILEX MUCRONATA
SILYBUM MACULATUM WHOLE	DAPHNE GNIDIUM
PI PA WHOLE	CISTUS CRETICUS
CASTILLEJA TRINERVIS WHOLE	POGOSTEMON CABLIN
VICIA TERANA WHOLE	MACLURA TINCTORIA
ORIGANUM SMYRNAEUM WHOLE	PAPAVER SOMNIFERUM
RUBUS CANADENSIS	RUDBECKIA HIRTA
CHINESE AMOMUM (AMOMUM VILLOSUM) [HOC]	ALLIUM PORRUM
BUTTERFLY-PEA WHOLE	SOLANUM NIGRUM
GARDEN SAGE WHOLE	AFRAMOMUM MELEGUETA
ENDOTROPIS ALNIFOLIA	SALVIA MILTIORRHIZA
LEPIDIUM EXIGUIFLORUM WHOLE	SALVIA OFFICINALIS
PARONYCHIA HISPANICA WHOLE	GLYCINE MAX
ANDROPOGON VIRGINICUS L.	ASARUM CANADENSE
SHORTLEAF YELLOW PINE WHOLE	VERONICA CHAMAEDRYS
DIGITALIS BRACHYANTHA WHOLE	TRIGONELLA CORNICULATA
AMBROSIA ARTEMISIAEFOLIA [HPUS]	SALVIA ROSMARINUS
BERBERIS RUBRA WHOLE	CAPSELLA BURSA-PASTORIS
CHRYSANTHEMUM SUAVEOLENS WHOLE	BLUMEA LACERA
BAUHINIA DIVARICATA WHOLE	MAGNOLIA GRANDIFLORA
CROTALARIA CANNABINUA WHOLE	FERULA SINKIANGENSIS
WHITE-MAN'S-FOOT WHOLE	EMILIA SONCHIFOLIA
LICORICE (GLYCYRRHIZA GLABRA) [HOC]	ARTEMISIA ARBORESCENS
ASARUM FURCATUM WHOLE	BAUHINIA LONGIFOLIA
INDIAN CATNIP [HOC]	THELYPTERIS KUNTHII
JUGLANS LACINIATA WHOLE	ROSA CANINA
GLOSSOGYNE CHINENSIS WHOLE	PRUNUS ANGUSTIFOLIA
KELLAUA SCHIMPERI WHOLE	TILIA AMERICANA
HARONGA MONTANA WHOLE	RUBUS ALLEGHENIENSIS
MONIERA BROWNEI WHOLE	SALVIA VERBENACA
ERUCA LATIVALVIS WHOLE	COMMELINA DIFFUSA
RUBUS LACINIATUS WHOLE	SAMBUCUS CANADENSIS
ROSA X DAMASCENA VARIEGATA WHOLE	ERUCA VESICARIA
SCABIOSA CAMPESTRIS WHOLE	PTERIDIUM AQUILINUM
CINNA GLOMERATA WHOLE	VITIS VINIFERA
COLEUS AMBOINICUS WHOLE	SALIX PYRIFOLIA
URARIA CRINITA	ANEMONE HEPATICA
PINUS PUMILIO WHOLE	ARDISIA CRENATA
TRAMETES PINICOLA WHOLE	CANTINOA AMERICANA
CRACCA LEUCOSERICEA WHOLE	PISTIA STRATIOTES
ASPARAGOPSIS SARMENTOSA WHOLE	ARUNDO DONAX
ACHILLEA LAXIFLORA WHOLE	SALVIA VERBENACA
GENTIANA OLIVIERI GRISEB.	ARUNDO DONAX
ARUM MONTANUM WHOLE	CURCUMA LONGA
STACHYS CALIFORNICA WHOLE	ARCTIUM LAPPA
APIUM RAPACEUM WHOLE	AMOMUM AROMATICUM
ESCHSCHOLZIA ISOSTIGMA WHOLE	CENTAUREA BENEDICTA
EUCHYLIA VERTICILLATA WHOLE	ULMUS MINOR
GNAPHALIUM TENUE WHOLE	CAPSELLA BURSA-PASTORIS
CHAMOMILLA COURRANTIANA WHOLE	TAMARIX CHINENSIS
FIVELEAVED IVY WHOLE	ACHILLEA MILLEFOLIUM
WILLOUGHBYA GABRIELI WHOLE	GALIUM TRIFLORUM
RED MULBERRY WHOLE	NEPHROLEPIS CORDIFOLIA
VITIS TRICHOPHYLLA WHOLE	AMBROSIA ARTEMISIIFOLIA
COMBRETUM ANKOLENSE WHOLE	LECHEA MINOR
BIDENS PILOSA WHOLE	QUERCUS ALBA
CELERI GRAVEOLENS WHOLE	GALIUM APARINE
FOMES FOMENTARIUS WHOLE	EUCLEA RACEMOSA
THYMBRA CAPITATA (L.) CAV.	PETROSELINUM CRISPUM
REN SENG WHOLE	PONTEDERIA CORDATA
YAN SUI WHOLE	ANCHUSA OFFICINALIS
CUMETEA MINI WHOLE	MEDICAGO POLYMORPHA
MOUNTAIN WOODSORREL WHOLE	ANEMOPSIS CALIFORNICA
PYRUS NIVALIS JACQ.	BUPLEURUM CHINENSE
BRISTLY OXTONGUE WHOLE	CAPSELLA BURSA-PASTORIS
ANTELAEA AZADIRACHTA [WHO-DD]	COPTIS CHINENSIS
MAGNOLIA EXONIENSIS WHOLE	GLADIOLUS DALENII
BIDENS HIRTA WHOLE	TUSSILAGO FARFARA
RANUNCULUS NEMORIVAGUS WHOLE	STACHYS MEXICANA
ARECA CATECHU [WHO-DD]	SCHINUS TEREBINTHIFOLIA
HYLOTELEPHIUM TELEPHIUM WHOLE	HEUCHERA CYLINDRICA
AMORPHA CROCEOLANATA WHOLE	TARAXACUM OFFICINALE
MISTRALIA GNIDIUM WHOLE	CUPHEA CARTHAGENENSIS
CYCLAMEN NEAPOLITANUM WHOLE	ILEX MUCRONATA
THAPSIA SYLPHIUM WHOLE	PETROSELINUM CRISPUM
ERICA CONFUSA WHOLE	HAMAMELIS VIRGINIANA
CERRIS AUSTRIACA WHOLE	CRATAEGUS MONOGYNA
UNCARIA TOMENTOSA	ABIES ALBA
SOLANUM PAPILIONACEUM WHOLE	CAPSELLA BURSA-PASTORIS
TURMERIC [HOC]	SIDA SPINOSA
WISTERIA SINENSIS	CHIONANTHUS VIRGINICUS
PTERIS LANUGINOSA WHOLE	GRINDELIA CILIATA
RUBUS CUNEIFOLIUS WHOLE	GYMNEMA SYLVESTRE
BIDENS TAQUETII WHOLE	BUPLEURUM CHINENSE
GLADIOLUS GARUANUS WHOLE	TRIBULUS TERRESTRIS
EUROPEAN BLACK ELDERBERRY WHOLE	GREWIA VILLOSA
TRICHERA HIRSUTA WHOLE	PSEUDARTHRIA HOOKERI
ROSMARINUS PROSTRATUS WHOLE	CHAMOMILE
GASTROCHILUS BLUMEI WHOLE	FOMITOPSIS PINICOLA
EUPATORIUM KIRILOWII WHOLE	MITRACARPUS HIRTUS
SALVIA AGRESTIS WHOLE	CERATONIA SILIQUA
YUCCA FILAMENTOSA [HPUS]	NERIUM OLEANDER
RUBUS FORESTALIS WHOLE	CENTAURIUM ERYTHRAEA
RUBUS FRUSTRATUS WHOLE	SENNA OCCIDENTALIS
MEDICAGO APICULATA WHOLE	FRAXINUS ANGUSTIFOLIA
BIDENS LEUCANTHEMUS WHOLE	ABIES ALBA
MENTHA SPICATA	SESELI LIBANOTIS
ALITUBUS TOMENTOSUS WHOLE	ELYMUS REPENS
BURSA INTEGRELLA WHOLE	ERYTHRINA HERBACEA
GALIUM VERUM [WHO-DD]	TAMARIX CHINENSIS
CLARY SAGE [HOC]	TAMARIX CHINENSIS
MENTHA ERINOIDES WHOLE	GALIUM APARINE
SELINUM PHELLANDRIUM WHOLE	ASTRAGALUS MONSPESSULANUS
JUNCUS MEDULLA	GUGGUL
DAPHNE BUXIFOLIA WHOLE	PIPER SARMENTOSUM
