latin_binomial,common_name,latin_binomial_clean,common_name_clean
Prunella vulgaris,Common selfheal,PRUNELLA VULGARIS,COMMON SELFHEAL
Prunella vulgaris,Heal-all,PRUNELLA VULGARIS,HEALALL
Prunella vulgaris,Prunella,PRUNELLA VULGARIS,PRUNELLA
Prunella vulgaris,Self-heal,PRUNELLA VULGARIS,SELFHEAL
Prunella vulgaris,Woundwort,PRUNELLA VULGARIS,WOUNDWORT
Prunella vulgaris,Xiakucao,PRUNELLA VULGARIS,XIAKUCAO
Prunus armeniaca,Apricot,PRUNUS ARMENIACA,APRICOT
Prunus armeniaca,Siberian apricot,PRUNUS ARMENIACA,SIBERIAN APRICOT
Prunus armeniaca,Xing,PRUNUS ARMENIACA,XING
Prunus persica,Momo,PRUNUS PERSICA,MOMO
Prunus persica,Peach,PRUNUS PERSICA,PEACH
Prunus persica,Tao,PRUNUS PERSICA,TAO
Prunus serotina,Black cherry,PRUNUS SEROTINA,BLACK CHERRY
Prunus serotina,Rum cherry,PRUNUS SEROTINA,RUM CHERRY
Prunus serotina,Wild cherry,PRUNUS SEROTINA,WILD CHERRY
Prunus spinosa,Blackthorn,PRUNUS SPINOSA,BLACKTHORN
Prunus spinosa,Endrino,PRUNUS SPINOSA,ENDRINO
Pseudognaphalium obtusifolium,Blunt-leaved everlasting,PSEUDOGNAPHALIUM OBTUSIFOLIUM,BLUNTLEAVED EVERLASTING
Pseudognaphalium obtusifolium,Fragrant everlasting,PSEUDOGNAPHALIUM OBTUSIFOLIUM,FRAGRANT EVERLASTING
Pseudotsuga menziesii,Douglas-fir,PSEUDOTSUGA MENZIESII,DOUGLASFIR
Ptelea trifoliata,Hoptree,PTELEA TRIFOLIATA,HOPTREE
Ptelea trifoliata,Shrub-trefoil,PTELEA TRIFOLIATA,SHRUBTREFOIL
Quassia amara,Quassia,QUASSIA AMARA,QUASSIA
Quassia amara,Quassia wood,QUASSIA AMARA,QUASSIA WOOD
Quercus alba,Stave oak,QUERCUS ALBA,STAVE OAK
Quercus alba,White oak,QUERCUS ALBA,WHITE OAK
Quercus incana,Bluejackoak,QUERCUS INCANA,BLUEJACKOAK
Raphanus raphanistrum,Jointed charlock,RAPHANUS RAPHANISTRUM,JOINTED CHARLOCK
Raphanus raphanistrum,Wild radish,RAPHANUS RAPHANISTRUM,WILD RADISH
Reynoutria multiflora,Fleeceflower,REYNOUTRIA MULTIFLORA,FLEECEFLOWER
Reynoutria multiflora,Fo-ti,REYNOUTRIA MULTIFLORA,FOTI
Reynoutria multiflora,He shou wu,REYNOUTRIA MULTIFLORA,HE SHOU WU
Rheum,Himalayan rhubarb,RHEUM,HIMALAYAN RHUBARB
Rheum,Himalaya-Rhabarber,RHEUM,HIMALAYARHABARBER
Rheum,Indian rhubarb,RHEUM,INDIAN RHUBARB
Rheum,zang bian da huang,RHEUM,ZANG BIAN DA HUANG
Rheum australe,Himalayan rhubarb,RHEUM AUSTRALE,HIMALAYAN RHUBARB
Rheum australe,Himalaya-Rhabarber,RHEUM AUSTRALE,HIMALAYARHABARBER
Rheum australe,Indian rhubarb,RHEUM AUSTRALE,INDIAN RHUBARB
Rheum australe,zang bian da huang,RHEUM AUSTRALE,ZANG BIAN DA HUANG
Rheum palmatum,Chinese Rhubarb,RHEUM PALMATUM,CHINESE RHUBARB
Rheum palmatum,Ornamental rhubarb,RHEUM PALMATUM,ORNAMENTAL RHUBARB
Rheum palmatum,Rhubarb,RHEUM PALMATUM,RHUBARB
Rheum palmatum,Zhang ye da huang,RHEUM PALMATUM,ZHANG YE DA HUANG
Rhodiola rosea,Hong jing tian,RHODIOLA ROSEA,HONG JING TIAN
Rhodiola rosea,King's-crown,RHODIOLA ROSEA,KINGSCROWN
Rhodiola rosea,Rhodiola,RHODIOLA ROSEA,RHODIOLA
Rhodiola rosea,Roseroot,RHODIOLA ROSEA,ROSEROOT
Rhus coriaria,Sicilian sumac,RHUS CORIARIA,SICILIAN SUMAC
Rhus coriaria,Tanner's sumac,RHUS CORIARIA,TANNERS SUMAC
Robinia pseudoacacia,Black locust,ROBINIA PSEUDOACACIA,BLACK LOCUST
Robinia pseudoacacia,Falsa acacia,ROBINIA PSEUDOACACIA,FALSA ACACIA
Rosa canina,Common briar,ROSA CANINA,COMMON BRIAR
Rosa canina,Dogbrier,ROSA CANINA,DOGBRIER
Rosa canina,Dog rose,ROSA CANINA,DOG ROSE
Rosmarinus officinalis,Rosemary,ROSMARINUS OFFICINALIS,ROSEMARY
Rubus ursinus,Boysenberry,RUBUS URSINUS,BOYSENBERRY
Rumex crispus,Curly dock,RUMEX CRISPUS,CURLY DOCK
Rumex crispus,Sour dock,RUMEX CRISPUS,SOUR DOCK
Rumex crispus,Yellow dock,RUMEX CRISPUS,YELLOW DOCK
Ruscus aculeatus,Box-holly,RUSCUS ACULEATUS,BOXHOLLY
Ruscus aculeatus,Butcher's-broom,RUSCUS ACULEATUS,BUTCHERSBROOM
Ruta chalepensis,Fringedrue,RUTA CHALEPENSIS,FRINGEDRUE
Ruta graveolens,Rue,RUTA GRAVEOLENS,RUE
Salvia officinalis,Common sage,SALVIA OFFICINALIS,COMMON SAGE
Salvia officinalis,Dalmatian sage,SALVIA OFFICINALIS,DALMATIAN SAGE
Salvia officinalis,Garden sage,SALVIA OFFICINALIS,GARDEN SAGE
Salvia officinalis,Sage,SALVIA OFFICINALIS,SAGE
Salvia pratensis,Meadow clary,SALVIA PRATENSIS,MEADOW CLARY
Salvia pratensis,Meadow sage,SALVIA PRATENSIS,MEADOW SAGE
Salvia sclarea,Clary,SALVIA SCLAREA,CLARY
Salvia sclarea,Clary sage,SALVIA SCLAREA,CLARY SAGE
Sambucus canadensis,American elder,SAMBUCUS CANADENSIS,AMERICAN ELDER
Sambucus canadensis,Canadian elder,SAMBUCUS CANADENSIS,CANADIAN ELDER
Sambucus canadensis,Sweet Elder,SAMBUCUS CANADENSIS,SWEET ELDER
Sambucus nigra,American elder,SAMBUCUS NIGRA,AMERICAN ELDER
Sambucus nigra,Canadian elder,SAMBUCUS NIGRA,CANADIAN ELDER
Sambucus nigra,Sweet Elder,SAMBUCUS NIGRA,SWEET ELDER
Sanguinaria canadensis,Bloodroot,SANGUINARIA CANADENSIS,BLOODROOT
Sanguinaria canadensis,Bloodwort,SANGUINARIA CANADENSIS,BLOODWORT
Sanguinaria canadensis,Canadian bloodroot,SANGUINARIA CANADENSIS,CANADIAN BLOODROOT
Sanguinaria canadensis,Red puccoon,SANGUINARIA CANADENSIS,RED PUCCOON
Sanguinaria canadensis,Redroot,SANGUINARIA CANADENSIS,REDROOT
Sanguinaria canadensis,Tetterwort,SANGUINARIA CANADENSIS,TETTERWORT
Saponaria officinalis,Bouncing-bet,SAPONARIA OFFICINALIS,BOUNCINGBET
Saponaria officinalis,Soapwort,SAPONARIA OFFICINALIS,SOAPWORT
Saposhnikovia divaricata,Fang feng,SAPOSHNIKOVIA DIVARICATA,FANG FENG
Saposhnikovia divaricata,Siler,SAPOSHNIKOVIA DIVARICATA,SILER
Sargassum pallidum,Sargassumpallidum,SARGASSUM PALLIDUM,SARGASSUMPALLIDUM
Sassafras albidum,Common sassafras,SASSAFRAS ALBIDUM,COMMON SASSAFRAS
Sassafras albidum,Sassafras,SASSAFRAS ALBIDUM,SASSAFRAS
Sassafras albidum,White sassafras,SASSAFRAS ALBIDUM,WHITE SASSAFRAS
Satureja montana,Savory,SATUREJA MONTANA,SAVORY
Satureja montana,Winter savory,SATUREJA MONTANA,WINTER SAVORY
Schisandra chinensis,Chinese Magnoliavine,SCHISANDRA CHINENSIS,CHINESE MAGNOLIAVINE
Schisandra chinensis,Schisandra,SCHISANDRA CHINENSIS,SCHISANDRA
Schisandra chinensis,Wu wei zi,SCHISANDRA CHINENSIS,WU WEI ZI
Scutellaria lateriflora,Helmet flower,SCUTELLARIA LATERIFLORA,HELMET FLOWER
Scutellaria lateriflora,Hoodwort,SCUTELLARIA LATERIFLORA,HOODWORT
Scutellaria lateriflora,Mad-dog scullcap,SCUTELLARIA LATERIFLORA,MADDOG SCULLCAP
Scutellaria lateriflora,Quarter bonnet,SCUTELLARIA LATERIFLORA,QUARTER BONNET
Scutellaria lateriflora,Scullcap,SCUTELLARIA LATERIFLORA,SCULLCAP
Scutellaria lateriflora,Skullcap,SCUTELLARIA LATERIFLORA,SKULLCAP
Scutellaria lateriflora,Virginian skullcap,SCUTELLARIA LATERIFLORA,VIRGINIAN SKULLCAP
Senna obtusifolia,Java-bean,SENNA OBTUSIFOLIA,JAVABEAN
Senna obtusifolia,Sicklepod,SENNA OBTUSIFOLIA,SICKLEPOD
Senna obtusifolia,Sicklepod senna,SENNA OBTUSIFOLIA,SICKLEPOD SENNA
Senna occidentalis,Antbush,SENNA OCCIDENTALIS,ANTBUSH
Senna occidentalis,Coffee senna,SENNA OCCIDENTALIS,COFFEE SENNA
Senna occidentalis,Negro-coffee,SENNA OCCIDENTALIS,NEGROCOFFEE
Senna occidentalis,Stinkingweed,SENNA OCCIDENTALIS,STINKINGWEED
Serenoa repens,Sabal,SERENOA REPENS,SABAL
Serenoa repens,Saw palmetto,SERENOA REPENS,SAW PALMETTO
Serenoa repens,Saw-palmetto,SERENOA REPENS,SAWPALMETTO
Serenoa repens,Scrub-palmetto,SERENOA REPENS,SCRUBPALMETTO
Silybum marianum,Blessed milk thistle,SILYBUM MARIANUM,BLESSED MILK THISTLE
Silybum marianum,Gundagai thistle,SILYBUM MARIANUM,GUNDAGAI THISTLE
Silybum marianum,Holy thistle,SILYBUM MARIANUM,HOLY THISTLE
Silybum marianum,Lady's thistle,SILYBUM MARIANUM,LADYS THISTLE
Silybum marianum,Mary's thistle,SILYBUM MARIANUM,MARYS THISTLE
Silybum marianum,Mary thistle,SILYBUM MARIANUM,MARY THISTLE
Silybum marianum,Milk thistle,SILYBUM MARIANUM,MILK THISTLE
Silybum marianum,St. Mary's thistle,SILYBUM MARIANUM,ST MARYS THISTLE
Silybum marianum,Variegated thistle,SILYBUM MARIANUM,VARIEGATED THISTLE
Sisymbrium officinale,Hedgemustard,SISYMBRIUM OFFICINALE,HEDGEMUSTARD
Solanum anguivi,PoisonBerry,SOLANUM ANGUIVI,POISONBERRY
Solidago canadensis,CanadianGoldenrod,SOLIDAGO CANADENSIS,CANADIANGOLDENROD
Solidago odora,Anise-scent goldenrod,SOLIDAGO ODORA,ANISESCENT GOLDENROD
Solidago odora,Fragrant goldenrod,SOLIDAGO ODORA,FRAGRANT GOLDENROD
Stachys officinalis,Bishop's-wort,STACHYS OFFICINALIS,BISHOPSWORT
Stachys officinalis,Purple betony,STACHYS OFFICINALIS,PURPLE BETONY
Stachys officinalis,Wood betony,STACHYS OFFICINALIS,WOOD BETONY
Stillingia sylvatica,Queen's-delight,STILLINGIA SYLVATICA,QUEENSDELIGHT
Stillingia sylvatica,Queen's-root,STILLINGIA SYLVATICA,QUEENSROOT
Stillingia sylvatica,Stillingia,STILLINGIA SYLVATICA,STILLINGIA
Stillingia sylvatica,Yawroot,STILLINGIA SYLVATICA,YAWROOT
Swertia chirata,Chirata,SWERTIA CHIRATA,CHIRATA
Swertia chirata,Chiretta,SWERTIA CHIRATA,CHIRETTA
Swertia chirata,Kiratatikta,SWERTIA CHIRATA,KIRATATIKTA
Symphytum officinale,Boneset,SYMPHYTUM OFFICINALE,BONESET
Symphytum officinale,Comfrey,SYMPHYTUM OFFICINALE,COMFREY
Symphytum officinale,Common comfrey,SYMPHYTUM OFFICINALE,COMMON COMFREY
Symphytum officinale,Consound,SYMPHYTUM OFFICINALE,CONSOUND
Symphytum officinale,Healing-herb,SYMPHYTUM OFFICINALE,HEALINGHERB
Symphytum officinale,Knitbone,SYMPHYTUM OFFICINALE,KNITBONE
Symphytum officinale,Slippery-root,SYMPHYTUM OFFICINALE,SLIPPERYROOT
Tamarindus indica,Indian tamarind,TAMARINDUS INDICA,INDIAN TAMARIND
Tamarindus indica,Kilytree,TAMARINDUS INDICA,KILYTREE
Tamarindus indica,Tamarin,TAMARINDUS INDICA,TAMARIN
Tamarindus indica,Tamarind,TAMARINDUS INDICA,TAMARIND
Tanacetum parthenium,Feverfew,TANACETUM PARTHENIUM,FEVERFEW
Tanacetum vulgare,Golden-buttons,TANACETUM VULGARE,GOLDENBUTTONS
Tanacetum vulgare,Tansy,TANACETUM VULGARE,TANSY
Taraxacum officinale,Common dandelion,TARAXACUM OFFICINALE,COMMON DANDELION
Taraxacum officinale,Dandelion,TARAXACUM OFFICINALE,DANDELION
Taraxacum officinale,Lion's-tooth,TARAXACUM OFFICINALE,LIONSTOOTH
Thymus vulgaris,Common thyme,THYMUS VULGARIS,COMMON THYME
Thymus vulgaris,Conehead thyme,THYMUS VULGARIS,CONEHEAD THYME
Thymus vulgaris,English thyme,THYMUS VULGARIS,ENGLISH THYME
Thymus vulgaris,French thyme,THYMUS VULGARIS,FRENCH THYME
Thymus vulgaris,Garden thyme,THYMUS VULGARIS,GARDEN THYME
Thymus vulgaris,Thyme,THYMUS VULGARIS,THYME
Tillandsia usneoides,Spanishmoss,TILLANDSIA USNEOIDES,SPANISHMOSS
Trametes versicolor,Kawaratake,TRAMETES VERSICOLOR,KAWARATAKE
Trametes versicolor,Turkey Tail,TRAMETES VERSICOLOR,TURKEY TAIL
Trametes versicolor,Yunzhi,TRAMETES VERSICOLOR,YUNZHI
Tribulus terrestris,Caltrop,TRIBULUS TERRESTRIS,CALTROP
Tribulus terrestris,Cat's-head,TRIBULUS TERRESTRIS,CATSHEAD
Tribulus terrestris,Common dubbletjie,TRIBULUS TERRESTRIS,COMMON DUBBLETJIE
Tribulus terrestris,Devil's-thorn,TRIBULUS TERRESTRIS,DEVILSTHORN
Tribulus terrestris,Devil's-weed,TRIBULUS TERRESTRIS,DEVILSWEED
Tribulus terrestris,Goathead,TRIBULUS TERRESTRIS,GOATHEAD
Tribulus terrestris,Gokshura,TRIBULUS TERRESTRIS,GOKSHURA
Tribulus terrestris,Goksura,TRIBULUS TERRESTRIS,GOKSURA
Tribulus terrestris,Ji li,TRIBULUS TERRESTRIS,JI LI
Tribulus terrestris,Puncturevine,TRIBULUS TERRESTRIS,PUNCTUREVINE
Tribulus terrestris,Puncturevine caltrop,TRIBULUS TERRESTRIS,PUNCTUREVINE CALTROP
Tribulus terrestris,Tribulus,TRIBULUS TERRESTRIS,TRIBULUS
Trigonella foenum,Common fenugreek,TRIGONELLA FOENUM,COMMON FENUGREEK
Trigonella foenum,Fenugreek,TRIGONELLA FOENUM,FENUGREEK
Trigonella foenum,Greek-clover,TRIGONELLA FOENUM,GREEKCLOVER
Trigonella foenum,Greek hay,TRIGONELLA FOENUM,GREEK HAY
Trigonella foenum,Hu lu ba,TRIGONELLA FOENUM,HU LU BA
Triticum aestivum,Bread wheat,TRITICUM AESTIVUM,BREAD WHEAT
Triticum aestivum,Wheat,TRITICUM AESTIVUM,WHEAT
Triticum aestivum,Xiao mai,TRITICUM AESTIVUM,XIAO MAI
Turnera diffusa,Damiana,TURNERA DIFFUSA,DAMIANA
Tussilago farfara,Coltsfoot,TUSSILAGO FARFARA,COLTSFOOT
Tussilago farfara,Common coltsfoot,TUSSILAGO FARFARA,COMMON COLTSFOOT
Tussilago farfara,Kuan dong,TUSSILAGO FARFARA,KUAN DONG
Tussilago farfara,Kuandonghua,TUSSILAGO FARFARA,KUANDONGHUA
Ulmus minor,Europeanfieldelm,ULMUS MINOR,EUROPEANFIELDELM
Ulmus rubra,Red elm,ULMUS RUBRA,RED ELM
Ulmus rubra,Slippery elm,ULMUS RUBRA,SLIPPERY ELM
Uncaria tomentosa,Cat's-claw,UNCARIA TOMENTOSA,CATSCLAW
Urena lobata,Di Tao Hua,URENA LOBATA,DI TAO HUA
Urena lobata,Xiao Fan Tian Hua,URENA LOBATA,XIAO FAN TIAN HUA
Urtica dioica,Common nettle,URTICA DIOICA,COMMON NETTLE
Urtica dioica,European nettle,URTICA DIOICA,EUROPEAN NETTLE
Urtica dioica,Greater nettle,URTICA DIOICA,GREATER NETTLE
Urtica dioica,Nettle,URTICA DIOICA,NETTLE
Urtica dioica,Stinging nettle,URTICA DIOICA,STINGING NETTLE
Urtica dioica,Yi zhu qian ma,URTICA DIOICA,YI ZHU QIAN MA
Vaccinium myrsinites,Shinyblueberry,VACCINIUM MYRSINITES,SHINYBLUEBERRY
Valeriana officinalis,Common valerian,VALERIANA OFFICINALIS,COMMON VALERIAN
Valeriana officinalis,Garden-heliotrope,VALERIANA OFFICINALIS,GARDENHELIOTROPE
Valeriana officinalis,Garden valerian,VALERIANA OFFICINALIS,GARDEN VALERIAN
Valeriana officinalis,Valerian,VALERIANA OFFICINALIS,VALERIAN
Verbascum thapsus,Aaron's-rod,VERBASCUM THAPSUS,AARONSROD
Verbascum thapsus,Common mullein,VERBASCUM THAPSUS,COMMON MULLEIN
Verbascum thapsus,Flannelleaf,VERBASCUM THAPSUS,FLANNELLEAF
Verbascum thapsus,Flannelplant,VERBASCUM THAPSUS,FLANNELPLANT
Verbascum thapsus,Great mullein,VERBASCUM THAPSUS,GREAT MULLEIN
Verbascum thapsus,Hag taper,VERBASCUM THAPSUS,HAG TAPER
Verbascum thapsus,Mullein,VERBASCUM THAPSUS,MULLEIN
Verbascum thapsus,Torches,VERBASCUM THAPSUS,TORCHES
Verbascum thapsus,Velvet-dock,VERBASCUM THAPSUS,VELVETDOCK
Viburnum opulus,Crampbark,VIBURNUM OPULUS,CRAMPBARK
Viburnum opulus,Guelder rose,VIBURNUM OPULUS,GUELDER ROSE
Vicia faba,Favabean,VICIA FABA,FAVABEAN
Vitex agnus,Chasteberry,VITEX AGNUS,CHASTEBERRY
Vitex agnus,Chastetree,VITEX AGNUS,CHASTETREE
Vitex agnus,Vitex,VITEX AGNUS,VITEX
Vitis rotundifolia,Fox grape,VITIS ROTUNDIFOLIA,FOX GRAPE
Vitis rotundifolia,Muscadine,VITIS ROTUNDIFOLIA,MUSCADINE
Vitis rotundifolia,Muscadine grape,VITIS ROTUNDIFOLIA,MUSCADINE GRAPE
Vitis vinifera,Common grapevine,VITIS VINIFERA,COMMON GRAPEVINE
Vitis vinifera,European grape,VITIS VINIFERA,EUROPEAN GRAPE
Vitis vinifera,Grape,VITIS VINIFERA,GRAPE
Vitis vinifera,Grapevine,VITIS VINIFERA,GRAPEVINE
Yucca filamentosa,Adam's-needle,YUCCA FILAMENTOSA,ADAMSNEEDLE
Yucca filamentosa,Bear-grass,YUCCA FILAMENTOSA,BEARGRASS
Yucca filamentosa,Needle-palm,YUCCA FILAMENTOSA,NEEDLEPALM
Yucca filamentosa,Spoon-leaf yucca,YUCCA FILAMENTOSA,SPOONLEAF YUCCA
Yucca filamentosa,Yucca,YUCCA FILAMENTOSA,YUCCA
Zanthoxylum clava,Hercules'-club,ZANTHOXYLUM CLAVA,HERCULESCLUB
Zanthoxylum clava,Pepperbark,ZANTHOXYLUM CLAVA,PEPPERBARK
Zanthoxylum clava,Southern prickly-ash,ZANTHOXYLUM CLAVA,SOUTHERN PRICKLYASH
Zanthoxylum clava,West Indian yellowwood,ZANTHOXYLUM CLAVA,WEST INDIAN YELLOWWOOD
Zingiber officinale,Ginger,ZINGIBER OFFICINALE,GINGER
Zingiber officinale,Jiang,ZINGIBER OFFICINALE,JIANG
Cannabis sativa,Cannibidiol,CANNABIS SATIVA,CANNIBIDIOL
Cannabis sativa,CBD,CANNABIS SATIVA,CBD
Cannabis sativa,Marijuana,CANNABIS SATIVA,MARIJUANA
Malus domestica,Apple cider vinegar,MALUS DOMESTICA,APPLE CIDER VINEGAR
Malus pumila,Apple cider vinegar,MALUS PUMILA,APPLE CIDER VINEGAR
Boswellia serrata,Boswellia,BOSWELLIA SERRATA,BOSWELLIA
Chlorella vulgaris,Chlorella,CHLORELLA VULGARIS,CHLORELLA
Vaccinium macrocarpon,Cranberry,VACCINIUM MACROCARPON,CRANBERRY
Oenothera biennis,Evening primrose oil,OENOTHERA BIENNIS,EVENING PRIMROSE OIL
Allium sativum,Garlic,ALLIUM SATIVUM,GARLIC
Citrus paradisi,Grapefruit,CITRUS PARADISI,GRAPEFRUIT
Nigella sativa,Black cumin,NIGELLA SATIVA,BLACK CUMIN
Oryza sativa,Red yeast rice,ORYZA SATIVA,RED YEAST RICE
Senna alexandrina,Senna,SENNA ALEXANDRINA,SENNA
Stevia rebaudiana,Stevia,STEVIA REBAUDIANA,STEVIA
Withania somnifera,Ashwaganda,WITHANIA SOMNIFERA,ASHWAGANDA
Withania somnifera,Asgandh,WITHANIA SOMNIFERA,ASGANDH
Withania somnifera,Ashwagandha,WITHANIA SOMNIFERA,ASHWAGANDHA
Withania somnifera,Asvagandha,WITHANIA SOMNIFERA,ASVAGANDHA
Withania somnifera,Indian ginseng,WITHANIA SOMNIFERA,INDIAN GINSENG
Withania somnifera,Winter-cherry,WITHANIA SOMNIFERA,WINTERCHERRY
Linum usitatissimum,Flaxseed,LINUM USITATISSIMUM,FLAXSEED
Linum usitatissimum,Flax seed,LINUM USITATISSIMUM,FLAX SEED
Linum usitatissimum,Flax,LINUM USITATISSIMUM,FLAX
Linum usitatissimum,Linseed,LINUM USITATISSIMUM,LINSEED
Cannabis sativa,Hemp extract,CANNABIS SATIVA,HEMP EXTRACT
Beta vulgaris,Beet root,BETA VULGARIS,BEET ROOT
Epimedium grandif,Horny goat weed,EPIMEDIUM GRANDIF,HORNY GOAT WEED
Epimedium grandiflorum,Horny goat weed,EPIMEDIUM GRANDIFLORUM,HORNY GOAT WEED
Triticum aestivum,Wheat grass,TRITICUM AESTIVUM,WHEAT GRASS
Ophiocordyceps sinensis,Cordyceps,OPHIOCORDYCEPS SINENSIS,CORDYCEPS
Cinnamomum cassia,Cinnamon,CINNAMOMUM CASSIA,CINNAMON
Glycyrrhiza uralensis,Licorice,GLYCYRRHIZA URALENSIS,LICORICE
Glycyrrhiza inflata,Licorice,GLYCYRRHIZA INFLATA,LICORICE
