FAERS_drug_match,lookup_value
CINNAMON/CHRONDROITIN,Cinnamon
CINNAMON (CINAMOMUM VERUM),Cinnamon
CINNAMON (CINNAMOMUN VERUM),Cinnamon
CINNAMON (CINNAMOM VERUM),Cinnamon
CINNAMON (CINNAMON VERUM),Cinnamon
CINNAMON (CINNAMOUM VERUM) (CAPSULES),Cinnamon
CINNAMON CITRACAL + D CLOTRIMAZOLE,Cinnamon
CINNAMON (CNINAMOMUM VERUM),Cinnamon
CINNAMON COMPLEX,Cinnamon
CINNAMON CR,Cinnamon
CINNAMON EXTRACT,Cinnamon
CINNAMON EXTRACT [CINNAMOMUM BURMANNI],Cinnamon
CINNAMON EXTRACT TABLETS,Cinnamon
CINNAMON GARLIC,Cinnamon
CINNAMON PLUS CHROMIUM,Cinnamon
CINNAMON PLUS CHROMIUM METABOLISM SUPPORT,Cinnamon
CINNAMON RED HOTS,Cinnamon
CINNAMON TEA,Cinnamon
CINNAMON VERUM,Cinnamon
CINNAMON W/CHROMIUM,Cinnamon
CINNAMON W/ CHROMIUM,Cinnamon
CINNAMON WITH CHROMIUM,Cinnamon
CINNAMON WITH HONEY AND TEA COMBINATION,Cinnamon
CINNULIN PF (WATER CINNAMON EXTRACT),Cinnamon
"CINSULILN (CINNAMON, VITAMIN D3, 500IU)",Cinnamon
CINSULIN (CINNAMON AND CHROMIUM PICOLINATE),Cinnamon
CO-Q 10 W/CINNAMON,Cinnamon
COQ10 WITH CINNAMON,Cinnamon
"^GOOD HERBS ORIGINAL^ TEA - ROOBOIS, ROSEHIPS, CHAMOMILE, CINNAMON, LE",Cinnamon
HERBAL SUPPLEMENT WITH CINNAMON,Cinnamon
HONEY + CINNAMON,Cinnamon
INNAMON (CINNAMON VERUM) CAPSULE,Cinnamon
"KAIGEN (CAFFEINE, CINNAMON, GLYCYRRHIZA EXTRACT, METHYLEPHEDRINE HYDRO",Cinnamon
LOOSE LEAF TEA (YERBA MATE) W/DANDELION ROOT+TUMERIC+CINNAMON+OREGAN+THYME,Cinnamon
MISTURA CARMINATIVA (CARAWAY (+) CARDAMOM SEED (+) CINNAMON (+) GLYCER,Cinnamon
PURITAN'S PRIDE CINNAMON WITH HIGH POTENCY CHROMIUM COMPLEX,Cinnamon
VITAMIN C-CINNAMON,Cinnamon
VITAMIN E CINNAMON,Cinnamon
WALGREENS BRAND CINNAMON CAPSULES,Cinnamon
FENUGREEK,Fenugreek
FENUGREEK                          /01475701/,Fenugreek
FENUGREEK AND THYME,Fenugreek
FENUGREEK BLOOD SUGAR HEALTH,Fenugreek
FENUGREEK CAPSULE,Fenugreek
FENUGREEK + CHROME,Fenugreek
FENUGREEK (HERB),Fenugreek
FENUGREEK HERBAL SUPPLEMENT,Fenugreek
FENUGREEK POWDER,Fenugreek
FENUGREEK SUPPLEMENT,Fenugreek
FENUGREEK/THYME,Fenugreek
FENUGREEK (TRIGONELLA FOENUM GRAECUM),Fenugreek
FENUGREEK (TRIGONELLA FOENUM-GRAECUM),Fenugreek
FENUGREEK [TRIGONELLA FOENUM-GRAECUM],Fenugreek
FENUGREEK [TRIGONELLA FOENUM?GRAECUM],Fenugreek
FENUGREEK [TRIGONELLA FOENUM-GRAECUM SEED],Fenugreek
FENUGREEK [TRIGONELLA FOENUM?GRAECUM SEED],Fenugreek
NATURE'S OWN GARLIC AND C HORSERADISH WITH FENUGREEK AND MARSHMALLOW,Fenugreek
ORCHARD AND GARDEN BLEND FENUGREEK,Fenugreek
PENUGREEK (FENUGREEK),Fenugreek
UNSPECIFIED FENUGREEK,Fenugreek
FEVERFEW,Feverfew
FEVERFEW                           /01723001/,Feverfew
FEVERFEW (HERBAL EXTRACTS NOS),Feverfew
FEVERFEW (TANACETUM PARTHENIUM),Feverfew
FEVERFEW [TANACETUM PARTHENIUM],Feverfew
FEVERFEW [TANACETUM PARTHENIUM LEAF],Feverfew
FEVERFEW TEA,Feverfew
FEVERFEW WITH BUTTERBUR,Feverfew
MIGLIEF (MAGNESIUM AND FEVERFEW),Feverfew
"MIGRE-LIEF (FEVERFEW, MAGNESIUM, RIBOFLAVIN)",Feverfew
TANACETUM PARTHENIUM,Feverfew
1000 MG. FLAXSEED OIL,Flax seed
B12 BY B1 ZINC MAGNESIUM FLAXSEED OIL,Flax seed
BARLEAN'S FLAX OIL VEGAN OMEGA-3 FORMULA,Flax seed
BARLEAN'S FRESH FLAX OIL,Flax seed
BLACK COHOSH-FLAXSEED SOY,Flax seed
BLACK COHOSH-FLAXSEED-SOY,Flax seed
BORAGE FLAX,Flax seed
BORAGE OIL AND FLAXSEED AND OMEGA-3 MARINE TRIGLYCERIDES AND SAFFLOWER,Flax seed
BORAGE OIL (+) FLAXSEED (+) OMEGA,Flax seed
BORAGE OIL (+) FLAXSEED (+) OMEGA-3 MARI,Flax seed
CALCIUM COLACE FLAX SEED FLUNISOLIDE SPR IPRATROIUM SPR,Flax seed
CBD FLAXSEES COMBO,Flax seed
CQ10+ FLAX SEED,Flax seed
CRUSHED FLAX SEED,Flax seed
CVS FLAXSEED OIL,Flax seed
DHA?EPA?FLAXSEED OIL?VITAMIN E,Flax seed
EFA - FLAXSEED,Flax seed
EQL FLAXSEED OIL,Flax seed
ESTER-C FLAX OIL-FISH OIL-BORAGE OIL,Flax seed
EXTRA-STRENGTH FLAX SEED,Flax seed
FISH AND FLAX OILS,Flax seed
FISH AND FLAXSEED OIL,Flax seed
"FISH FLAX AND MOROCCAN OIL WITH OMEGA 3,6,9 HEART HEALTH SOFT GEL",Flax seed
FISH/FLAX/BORAG,Flax seed
FISH FLAX + BORAGE OIL,Flax seed
FISH/FLAX BORAGE OIL,Flax seed
FISHFLAX-BORAGE OIL,Flax seed
FISH/FLAX/BORAGE OIL MIXTURE,Flax seed
FISH + FLAX OIL,Flax seed
FISH/FLAX OIL,Flax seed
"FISH FLAXSEED SAFFLOWER AND OLIVE OILS OMEGA 6, 3 AND 9",Flax seed
FISH OIL/ FLAX/ BORAX OIL,Flax seed
FISH OIL/ FLAX OIL,Flax seed
FISH OIL/FLAX OIL,Flax seed
FISH OIL/FLAXSEED OIL COMBINATION,Flax seed
FLAX,Flax seed
FLAX AND BORAGE OIL W.OMEGA,Flax seed
FLAX AND FIBER,Flax seed
FLAXA SEEDS,Flax seed
FLAX + BORAGE OIL,Flax seed
FLAX/BORAGE OIL,Flax seed
FLAX CAPSULES,Flax seed
FLAX COMPLETE,Flax seed
FLAXEED,Flax seed
FLAX EED OIL,Flax seed
FLAXEED OIL,Flax seed
FLAX FIBER,Flax seed
FLAX/FISH OIL,Flax seed
FLAX/FISH OIL/BORIC SUPPLEMENT,Flax seed
FLAX/FISH OIL SUPPLEMENT,Flax seed
FLAX FISH ORANGE OIL,Flax seed
FLAX (FLAX SEED OIL),Flax seed
FLAX GROUND OIL,Flax seed
FLAX MEAL,Flax seed
FLAX OIL,Flax seed
FLAX-OIL,Flax seed
FLAX OIL                           /01649403/,Flax seed
FLAX OIL /01649403/,Flax seed
FLAX OIL 1000 MG,Flax seed
FLAX OIL CAPS,Flax seed
FLAX OIL CAPSULES,Flax seed
FLAX OIL/FISH OIL,Flax seed
FLAX OIL [LINOLEIC ACID;LINUM USITATISSIMUM OIL;OLEIC ACID],Flax seed
FLAX OIL (LINSEED OIL0,Flax seed
FLAX OIL [LINUM USITATISSIMUM OIL],Flax seed
FLAX OIL                     (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAX OIL (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAX OIL [LINUM USITATISSIMUM SEED OIL],Flax seed
FLAX OIL (OMEGA 3),Flax seed
FLAX OIL (ORGANIC),Flax seed
FLAX OILS CAPSULE,Flax seed
FLAX OIL SEED,Flax seed
FLAX ORAL OIL,Flax seed
FLAX PILL,Flax seed
FLAXSED OIL,Flax seed
FLAXSEED,Flax seed
^FLAX SEED^,Flax seed
FLAX  SEED,Flax seed
FLAXSEED 1000 MG CAPSULE,Flax seed
FLAX SEED 3000,Flax seed
FLAX SEED CAP,Flax seed
FLAXSEED CAP,Flax seed
FLAX SEED CAP 1000MG,Flax seed
FLAX SEED CAPSULE,Flax seed
FLAXSEED CAPSULE,Flax seed
FLAX SEED CAPSULES,Flax seed
FLAXSEED CAPSULES,Flax seed
FLAXSEED (FLAXSEED),Flax seed
FLAX SEED (FLAX SEED) (FLAX SEED),Flax seed
FLAX SEED FLOUR,Flax seed
FLAX SEED GEL CAP,Flax seed
FLAXSEED GRANULES,Flax seed
FLAXSEED GROUND,Flax seed
FLAX SEED GROUNDED UP,Flax seed
FLAX SEED GROUND UP ON OATMEAL,Flax seed
FLAX SEED/HERBAL NOS/PSYLLIUM,Flax seed
FLAXSEED (LINIUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED (LINSEED),Flax seed
"FLAXSEED, LINSEED",Flax seed
FLAXSEED(LINSEED),Flax seed
"FLAXSEED, LINSEED (GROUND FLAX SEEDS)",Flax seed
FLAX SEED (LINSEED OIL) (CAPSULES),Flax seed
FLAXSEED (LINSEED OIL) (CAPSULES),Flax seed
FLAXSEED (LINSEED OIL) (UNKNOWN),Flax seed
FLAXSEED (LINUM USIATISSIMUM SEED OIL),Flax seed
FLAXSEED (LINUM USITATISSIMUM),Flax seed
FLAXSEED (LINUM USITATISSIMUM SEED),Flax seed
FLAXSEED (LINUM USITATISSIMUM SEED) (LINUM USITATISSIMUM SEED),Flax seed
FLAX SEED (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAX SEED (LINUM USITATISSIMUM SEED OIL) (UNKNOWN)?,Flax seed
FLAX SEED MEAL,Flax seed
FLAXSEED MEAL,Flax seed
FLAX SEED (NON-ABBOTT),Flax seed
FLAX SEED (NON-ABBVIE),Flax seed
FLAX SEED OI,Flax seed
FLAX SEED OID,Flax seed
FLAX-SEED OIL,Flax seed
"FLAXSEED OIL,",Flax seed
FLAXSEED OIL,Flax seed
FLAXSEED OIL                       /01649403/,Flax seed
FLAXSEED OIL /01649403/,Flax seed
FLAXSEED OIL                       /01649404/,Flax seed
FLAX SEED OIL 1000 MG,Flax seed
FLAXSEED OIL 1000MG,Flax seed
FLAXSEED OIL 1000 MG,Flax seed
"FLAX SEED OIL, 1000MG, ORAL",Flax seed
FLAXSEED OIL 100MG,Flax seed
FLAX SEED OIL 1300MG,Flax seed
FLAX SEED OIL 1300 MG B.I.D,Flax seed
"FLAXSEED OIL 1300 MG, ORAL",Flax seed
FLAX SEED OIL AND MEAL,Flax seed
FLAXSEED OIL AND OMEGA 3-FATTY ACID,Flax seed
FLAXSEED OIL AND POWDER,Flax seed
FLAX SEED OIL CAP,Flax seed
FLAX SEED OIL CAPS,Flax seed
FLAXSEED OIL CAPS,Flax seed
FLAX SEED OIL CAPSULE,Flax seed
FLAXSEED OIL CAPSULE,Flax seed
FLAX SEED OIL CAPSULES,Flax seed
FLAXSEED OIL CAPSULES,Flax seed
FLAXSEED OIL (CAPSULES),Flax seed
FLAXSEED OIL CAPSULES(L000 MG),Flax seed
FLAXSEED OIL COMPRESSED,Flax seed
FLAX SEED OIL DRY EYES,Flax seed
FLAX SEED OIL EYE LUBRICATION,Flax seed
FLAXSEED OIL (FLAXSEED OIL),Flax seed
FLAXSEED OIL (FLAXSEED OIL) (FLAXSEED OIL),Flax seed
FLAX SEED OIL GEL CAPS,Flax seed
FLAXSEED OIL (LINSEED),Flax seed
FLAXSEED OIL )(LINSEED OIL),Flax seed
"FLAXSEED OIL(LINSEED OIL)(1000 MILLIGRAM, CAPSULES)",Flax seed
FLAXSEED OIL (LINSEED OIL) (CAPSULES),Flax seed
FLAXSEED OIL (LINSEED OIL) (TABLETS),Flax seed
FLAXSEED OIL (LINSEED OIL) (UNKNOWN),Flax seed
FLAXSEED OIL(LINSEED OIL)(UNKNOWN),Flax seed
FLAXSEED OIL (LINUM UNSITATISSIMUM SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISIMUM SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISSIMDM SEED OIL),Flax seed
FLAXSEED OIL [LINUM USITATISSIMUM OIL],Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED),Flax seed
FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED OIL      (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM  SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL,Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED OIL(LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL) CAPSULE,Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OILD),Flax seed
FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL) (LINUM USITATISSIMUM SEED,Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL)  (LINUM USITATISSIMUM SEED,Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL) (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISSIMUM SEED OIL) (LINUMUSITATISSIMUM SEED OIL),Flax seed
FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL) (UNKNOWN),Flax seed
FLAXSEED OIL (LINUM USITATISSINUM SEED OIL),Flax seed
FLAX SEED OIL (LINUM USITATISSIUM SEED OIL),Flax seed
FLAX SEED OIL (LINUM USITATISSIUMUM SEED OIL),Flax seed
FLAXSEED OIL (LINUM USITATISSIUMUM SEED OIL),Flax seed
FLAXSEED OIL MAX,Flax seed
FLAXSEED OIL MAX STR,Flax seed
FLAXSEED OIL NATURE MADE,Flax seed
FLAX SEED OIL/OMEGA 3,Flax seed
FLAXSEED OIL OMEGA 3,Flax seed
FLAXSEED OIL-OMEGA 3 OIL,Flax seed
FLAX SEED OIL (OTHER THERAPEUTIC PRODUCTS),Flax seed
FLAXSEED OIL PILL,Flax seed
FLAX SEED OIL PILLS,Flax seed
FLAX SEED OILS,Flax seed
FLAXSEED OILS,Flax seed
FLAX SEED OIL SUPPLEMENT,Flax seed
FLAXSEED OIL SUPPLEMENT,Flax seed
FLAX SEED OIL TABS,Flax seed
FLAXSEED OIL (UNKNOWN UNTIL CONTINUING),Flax seed
FLAXSEED OIL WITH OMEGA 3,Flax seed
FLAX SEED OIL WITH VITAMIN E,Flax seed
FLAX SEED OIT,Flax seed
FLAXSEED OLL,Flax seed
"FLAXSEED/ OMEGA 3,6,9",Flax seed
FLAX SEED-OMEGA WITH KRILL OIL,Flax seed
FLAX SEED OR GEL CAPS,Flax seed
FLAXSEED (OTHER ALIMENTARY TRACT AND METABOLISM PROD),Flax seed
FLAX SEED PILL,Flax seed
FLAXSEED PILL,Flax seed
FLAX SEED PILLS,Flax seed
FLAXSEED PILLS,Flax seed
FLAX SEED PLUS FISH OIL,Flax seed
FLAX SEED POWDER,Flax seed
FLAXSEED POWDER,Flax seed
FLAX SEED PRIMROSE OIL,Flax seed
FLAXSEED PRIMROSE OIL,Flax seed
FLAXSEED-PRIMROSE OIL,Flax seed
"FLAXSEED PRIMROSE OIL (GAMOLENIC ACID, LINOLEIC ACID, LINOLENIC ACID) CAPSULE",Flax seed
FLAXSEEDS,Flax seed
FLAX SEEDS,Flax seed
FLAX SEED SOIL,Flax seed
FLAXSEEDS OIL,Flax seed
FLAXSEEDS + OIL,Flax seed
FLAX SEEDS POWD,Flax seed
FLAX SEEDS TABLETS,Flax seed
FLAXSEED SUPPLEMENT (LINUM USITATISSIMUM SEED OIL) (LINUM USITATISSIMU,Flax seed
FLAXSEED TABLET,Flax seed
FLAXSEED WITH OMEGA 3 BLEND,Flax seed
FLAX SEEED OIL,Flax seed
FLAX SEEL OIL,Flax seed
FLAX SEEN,Flax seed
FLAX SEEN OIL,Flax seed
FLAX SEE OIL,Flax seed
FLAXSEE OIL,Flax seed
FLAXSEE OIL (LENSEED OIL) (UNKNOWN),Flax seed
FLAX SEE OIL (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAXSEE OIL (LINUM USITATISSIMUM SEED OIL),Flax seed
FLAX SEE OIL (LINUM USITATISSIMUM SEED OIL) (CAPSULES),Flax seed
FLAXSEE OIL TABLETS,Flax seed
FLAX SEE POWDER AND OIL,Flax seed
FLAX SSED OIL,Flax seed
FLAXSSED OIL,Flax seed
FLAX TABLET,Flax seed
FLAX XEED OIL,Flax seed
"GLUCOSAMINE CHONDROITIN FLAX SEED OIL (GLUCOSAMINE, CHONDROITIN SULFATE)",Flax seed
GNP FLAX SEED OIL (LINUM USITATISSIMUM SEED OIL),Flax seed
GROUND FLAX,Flax seed
GROUND FLAX (HERBAL EXTRACT NOS),Flax seed
GROUND FLAXSEED,Flax seed
GROUND FLAX SEED,Flax seed
GROUND-FLAX SEED DIET CHANGE WITH WHOLE WHEAT FOR HIGH FIBER,Flax seed
HERBAL SUPPLEMENT OF FLAX OIL,Flax seed
HIGH LIGNAN FLAXSEED,Flax seed
HIGH OMEGA FLAXSEED,Flax seed
"LINSEED OIL (FLAXSEED OIL, CAPSULE, SOFT GELATIN)",Flax seed
LINUM USITATISSIMUM       (FLAX SEED),Flax seed
MAGNESIUM FLAXSEED,Flax seed
MILLED FLAX SEED,Flax seed
NATURAL ALTERNA. FLAXSEED OIL PLUS LECITHIN,Flax seed
NATURE MADE FLAXSEED,Flax seed
NATUREMADE FLAXSEED OIL,Flax seed
NATURES BOUNTY FISH FLAX AND BORAGE,Flax seed
NOPALINA FLAX SEED PLUS,Flax seed
